년도,월,수출(중량),수입(중량)
2010,1,4172.90 ,1823871.00 
2010,2,8397.00 ,2388547.00 
2010,3,8147.00 ,1401952.00 
2010,4,6122.70 ,3854173.00 
2010,5,5535.00 ,1697612.00 
2010,6,6862.20 ,1049296.00 
2010,7,3575.20 ,3407075.00 
2010,8,11401.10 ,12513653.00 
2010,9,2895.40 ,4811388.00 
2010,10,5377.00 ,9299402.00 
2010,11,7978.10 ,7514982.00 
2010,12,20673.90 ,14246228.00 
2011,1,38563.10 ,3709989.00 
2011,2,614.40 ,4658355.00 
2011,3,18653.80 ,9843349.00 
2011,4,14900.40 ,7934083.00 
2011,5,3690.40 ,2544165.00 
2011,6,8584.60 ,3505537.00 
2011,7,2962.80 ,10339192.00 
2011,8,5026.60 ,10681821.00 
2011,9,2182.10 ,6854930.00 
2011,10,3920.10 ,3024939.00 
2011,11,11947.00 ,9257468.00 
2011,12,2336.20 ,6266080.00 
2012,1,3997.20 ,3734498.00 
2012,2,3718.20 ,4967939.00 
2012,3,2953.40 ,11273019.00 
2012,4,503772.80 ,7090546.00 
2012,5,1937.60 ,4576560.00 
2012,6,23383.00 ,2987985.00 
2012,7,21179.50 ,2367388.00 
2012,8,2542.30 ,3872913.00 
2012,9,2579.80 ,3280386.00 
2012,10,343721.20 ,3040999.00 
2012,11,4868.20 ,4333403.00 
2012,12,2050.00 ,3728209.00 
2013,1,403086.50 ,3869400.00 
2013,2,6234.60 ,3041478.00 
2013,3,1054.70 ,2982687.00 
2013,4,2977.20 ,3261512.00 
2013,5,6975.30 ,5001167.00 
2013,6,1062.00 ,5014054.00 
2013,7,3029.90 ,3059892.00 
2013,8,2236.50 ,4355450.00 
2013,9,894.90 ,3210857.00 
2013,10,2653.00 ,3835679.00 
2013,11,902.50 ,3827161.00 
2013,12,18172.50 ,3048481.00 
2014,1,4355.20 ,2943305.00 
2014,2,1863.30 ,2937360.00 
2014,3,3397.10 ,5243887.00 
2014,4,14860.10 ,3255640.00 
2014,5,17652.90 ,2602704.00 
2014,6,1795.90 ,2984898.00 
2014,7,47541.10 ,3953265.00 
2014,8,10389.60 ,6453948.00 
2014,9,6797.30 ,3220841.00 
2014,10,3593.50 ,3296950.00 
2014,11,4708.00 ,2860167.00 
2014,12,10066.30 ,3646480.00 
2015,1,4427.90 ,2230882.00 
2015,2,1634.80 ,2611091.00 
2015,3,7961.80 ,4401578.00 
2015,4,4938.40 ,3880499.00 
2015,5,4417.30 ,2475378.00 
2015,6,17141.20 ,2490240.00 
2015,7,9171.80 ,3493334.00 
2015,8,1810.90 ,5126406.00 
2015,9,11248.10 ,4790942.00 
2015,10,7553.30 ,4965596.00 
2015,11,16274.50 ,8463105.00 
2015,12,141117.90 ,17264356.00 
2016,1,15120.90 ,3710965.50 
2016,2,1131.60 ,3895779.30 
2016,3,3391.90 ,4090211.10 
2016,4,6298.20 ,5834842.90 
2016,5,3814.30 ,5327926.30 
2016,6,1196.40 ,4124996.90 
2016,7,7172.20 ,3622399.60 
2016,8,1518.30 ,6546785.60 
2016,9,23239.20 ,7123346.30 
2016,10,5814.60 ,5172547.90 
2016,11,3178.40 ,8291364.70 
2016,12,4532.50 ,16752698.90 
2017,1,4755.70 ,3311761.20 
2017,2,9925.60 ,1475329.60 
2017,3,4410.60 ,2516978.90 
2017,4,6989.00 ,1847168.00 
2017,5,4811.00 ,2463506.20 
2017,6,3856.00 ,4725740.30 
2017,7,3786.90 ,3891787.80 
2017,8,9150.30 ,4146286.50 
2017,9,55025.00 ,3238444.60 
2017,10,4213.20 ,1954993.60 
2017,11,5527.30 ,4323775.60 
2017,12,3443.80 ,3121117.80 
2018,1,14502.40 ,5806770.40 
2018,2,5177.80 ,3155216.00 
2018,3,5629.60 ,3125371.70 
2018,4,11338.10 ,3284686.90 
2018,5,3076.50 ,3098493.30 
2018,6,23118.00 ,2439962.50 
2018,7,1701.80 ,3090846.40 
2018,8,3094.10 ,8072090.10 
2018,9,4534.10 ,2931798.40 
2018,10,2798.00 ,2787831.70 
2018,11,7066.20 ,3138825.00 
2018,12,4402.30 ,2383980.40 
2019,1,23404.00 ,3394382.20 
2019,2,3382.90 ,10107707.10 
2019,3,4655.70 ,2120811.10 
2019,5,5427.90 ,3502290.40 
2019,6,3144.90 ,1708129.50 
2019,7,11988.10 ,2680098.70 
2019,8,688367.80 ,6748621.20 
2019,9,212958.50 ,1585672.60 
2019,10,355158.10 ,1889134.10 
2019,11,273592.40 ,2037108.70 
2019,12,441897.70 ,2722370.50 
2020,1,187620.70 ,4276570.70 
2020,2,582410.20 ,1436867.40 
2020,3,473373.20 ,4747189.60 
