년도,월,수출(중량),수입(중량)
2010,1,197804.00 ,230808.00 
2010,2,120878.10 ,778786.00 
2010,3,30478.50 ,297095.00 
2010,4,206.50 ,6244403.00 
2010,5,2166.00 ,2038736.00 
2010,6,1678795.00 ,372609.00 
2010,7,1691399.50 ,268015.00 
2010,8,105411.00 ,441071.00 
2010,9,328.00 ,949642.00 
2010,10,127.00 ,902210.00 
2010,11,76.50 ,2569237.00 
2010,12,1501.70 ,6241473.00 
2011,1,253.00 ,980564.00 
2011,2,25376.00 ,4334361.00 
2011,3,2826.00 ,4846506.00 
2011,4,73060.00 ,1269880.00 
2011,5,50017.00 ,390503.00 
2011,6,438815.00 ,200752.00 
2011,7,127633.00 ,748470.00 
2011,8,17024.40 ,1441867.00 
2011,9,13861.00 ,1822739.00 
2011,10,23515.00 ,957609.00 
2011,11,1953.00 ,520765.00 
2011,12,2865.00 ,816601.00 
2012,1,99.00 ,405200.00 
2012,2,8220.00 ,2047740.00 
2012,3,1208.00 ,365763.00 
2012,4,316.00 ,924640.00 
2012,5,13328.00 ,354569.00 
2012,6,792624.00 ,442050.00 
2012,7,91696.00 ,826636.00 
2012,8,51640.00 ,3707326.00 
2012,9,670.00 ,4112262.00 
2012,10,702.00 ,6692955.00 
2012,11,772.00 ,10817249.00 
2012,12,935.00 ,15255667.00 
2013,1,103.00 ,9404869.00 
2013,2,573.00 ,6445056.00 
2013,3,24818.00 ,8475459.00 
2013,4,408.00 ,15842088.00 
2013,5,258.00 ,12266989.00 
2013,6,120007.70 ,2107037.00 
2013,7,576034.00 ,981066.00 
2013,8,59.00 ,1497007.00 
2013,9,0.00 ,1530392.00 
2013,10,67.00 ,3177153.00 
2013,11,20.00 ,969368.00 
2013,12,353.20 ,2546993.00 
2014,1,38916.00 ,1326934.00 
2014,2,60131.00 ,1056475.00 
2014,3,2426.00 ,730060.00 
2014,4,10036.00 ,975695.00 
2014,5,1048.00 ,643646.00 
2014,6,1423442.00 ,862031.00 
2014,7,8632974.00 ,450691.00 
2014,8,5936865.00 ,404215.00 
2014,9,4057914.00 ,574438.00 
2014,10,3101213.00 ,539419.00 
2014,11,568584.00 ,489383.00 
2014,12,438763.00 ,500221.00 
2015,1,149542.00 ,619487.00 
2015,2,6250.00 ,495348.00 
2015,3,7149.20 ,582211.00 
2015,4,1663.60 ,1231503.00 
2015,5,3971.00 ,659173.00 
2015,6,196952.00 ,889954.00 
2015,7,9126.00 ,6289905.00 
2015,8,40.00 ,17577957.00 
2015,9,3000.00 ,21423541.00 
2015,10,20.00 ,25564652.00 
2015,11,124.00 ,32575633.00 
2015,12,8000.00 ,46459952.00 
2016,1,1000.00 ,24407928.30 
2016,2,305.00 ,6681746.20 
2016,3,0.00 ,7023688.60 
2016,4,0.00 ,2245899.90 
2016,5,832985.00 ,943453.40 
2016,6,3195500.00 ,2877085.70 
2016,7,4399127.60 ,1323296.60 
2016,8,415327.80 ,1936259.60 
2016,9,24971.20 ,1761817.00 
2016,10,25506.00 ,1417776.80 
2016,11,10420.00 ,2111342.70 
2016,12,4145.00 ,2620012.90 
2017,1,3410.00 ,7491746.60 
2017,2,220.00 ,11658743.90 
2017,3,185.00 ,15412350.40 
2017,4,3827.60 ,10110099.80 
2017,5,7010.00 ,1415287.00 
2017,6,103813.00 ,4787842.20 
2017,7,7390.00 ,12047225.00 
2017,8,2568.00 ,19786891.50 
2017,9,6458.00 ,19027841.90 
2017,10,1110.00 ,17776307.80 
2017,11,403250.00 ,25735599.30 
2017,12,7420.00 ,14091905.90 
2018,1,2675.00 ,13452312.10 
2018,2,2165.00 ,9088573.90 
2018,3,28862.00 ,10062700.80 
2018,4,250.00 ,6105849.70 
2018,5,34860.00 ,4753836.60 
2018,6,155631.00 ,4232998.90 
2018,7,2295696.00 ,3283916.40 
2018,8,437110.00 ,4737374.70 
2018,9,122146.00 ,3214476.80 
2018,10,4805.00 ,3536051.20 
2018,11,145131.00 ,5019210.40 
2018,12,232240.00 ,2858362.10 
2019,1,821330.00 ,5571387.20 
2019,2,165470.00 ,3131466.20 
2019,3,4730.00 ,4655135.30 
2019,5,912266.00 ,2304312.00 
2019,6,10153040.80 ,1395607.40 
2019,7,20949422.70 ,2498183.40 
2019,8,6308832.70 ,1317767.70 
2019,9,3558273.80 ,2537696.50 
2019,10,5975115.10 ,1703417.90 
2019,11,1559163.70 ,3124847.00 
2019,12,1886.00 ,1446271.90 
2020,1,4290.00 ,2685336.10 
2020,2,20255.50 ,2144917.30 
2020,3,1923.00 ,4193266.90 
