년도,월,수출(중량),수입(중량)
2010,1,238133.00 ,11580818.00 
2010,2,240883.20 ,14753256.00 
2010,3,250385.40 ,11453169.00 
2010,4,221121.80 ,11435557.00 
2010,5,246000.10 ,9414677.00 
2010,6,306207.40 ,8431964.00 
2010,7,264389.60 ,7952871.00 
2010,8,204159.40 ,13631633.00 
2010,9,221491.30 ,4775796.00 
2010,10,234747.20 ,15780670.00 
2010,11,281863.20 ,29318442.00 
2010,12,335342.60 ,17573904.00 
2011,1,257566.50 ,19374578.00 
2011,2,174423.10 ,12395777.00 
2011,3,263162.20 ,17810920.00 
2011,4,272274.80 ,13329196.00 
2011,5,247948.80 ,11858149.00 
2011,6,210408.20 ,11992978.00 
2011,7,250387.50 ,14081004.00 
2011,8,184305.10 ,11828475.00 
2011,9,221528.00 ,20171181.00 
2011,10,309788.60 ,32147909.00 
2011,11,252806.40 ,30849318.00 
2011,12,279071.40 ,22061784.00 
2012,1,264858.10 ,12944010.00 
2012,2,259145.30 ,14314822.00 
2012,3,172184.30 ,19908704.00 
2012,4,273277.10 ,15514887.00 
2012,5,238737.30 ,13122503.00 
2012,6,221146.20 ,17721233.00 
2012,7,279820.70 ,16187283.00 
2012,8,227548.00 ,13275916.00 
2012,9,385058.50 ,12060774.00 
2012,10,210066.70 ,19413199.00 
2012,11,297214.90 ,25284000.00 
2012,12,581380.40 ,20005286.00 
2013,1,278032.90 ,21665541.00 
2013,2,257281.90 ,14602740.00 
2013,3,222066.00 ,12284263.00 
2013,4,253934.40 ,13803803.00 
2013,5,183996.40 ,13860730.00 
2013,6,228481.50 ,13863804.00 
2013,7,297722.40 ,13288560.00 
2013,8,190437.30 ,10134530.00 
2013,9,183602.10 ,8467458.00 
2013,10,380788.70 ,14638200.00 
2013,11,314122.10 ,17494631.00 
2013,12,292712.60 ,19211999.00 
2014,1,257984.40 ,16286846.00 
2014,2,260101.30 ,13386659.00 
2014,3,202510.10 ,15638255.00 
2014,4,263117.10 ,14902674.00 
2014,5,183882.20 ,12635195.00 
2014,6,313958.50 ,12818277.00 
2014,7,410927.40 ,11537206.00 
2014,8,256019.60 ,8873393.00 
2014,9,232210.60 ,6356419.00 
2014,10,386332.00 ,19345074.00 
2014,11,234851.40 ,17513276.00 
2014,12,240599.30 ,23432183.00 
2015,1,273004.30 ,17381911.00 
2015,2,264463.70 ,19718508.00 
2015,3,301245.30 ,16379771.00 
2015,4,263368.80 ,18826066.00 
2015,5,204782.00 ,14660504.00 
2015,6,284096.30 ,15735848.00 
2015,7,309474.30 ,14824009.00 
2015,8,228008.20 ,11676430.00 
2015,9,178473.60 ,14704118.00 
2015,10,308857.50 ,16713936.00 
2015,11,232656.60 ,18704822.00 
2015,12,289366.60 ,19831342.00 
2016,1,203959.10 ,15441338.40 
2016,2,258462.20 ,16185779.30 
2016,3,258075.00 ,15298374.30 
2016,4,141262.00 ,16754870.70 
2016,5,271104.50 ,16348447.50 
2016,6,199443.30 ,17332199.50 
2016,7,270954.20 ,13866434.60 
2016,8,199597.60 ,15979079.80 
2016,9,215766.60 ,13211069.80 
2016,10,220924.00 ,17808887.90 
2016,11,266371.90 ,23597791.20 
2016,12,266753.90 ,22857311.30 
2017,1,229438.00 ,18783905.20 
2017,2,302022.80 ,15188143.50 
2017,3,303184.50 ,17500606.80 
2017,4,161411.80 ,17970563.60 
2017,5,235074.30 ,18618512.70 
2017,6,191675.50 ,19571047.80 
2017,7,151818.50 ,14494154.30 
2017,8,160122.30 ,12262045.10 
2017,9,189475.60 ,16122996.00 
2017,10,159379.10 ,20843987.30 
2017,11,327416.90 ,30190457.00 
2017,12,252971.90 ,26469924.20 
2018,1,269609.10 ,23455174.80 
2018,2,259295.90 ,18332257.80 
2018,3,236961.50 ,21726488.80 
2018,4,237404.20 ,24253908.20 
2018,5,220246.80 ,21689622.90 
2018,6,190108.40 ,17880577.40 
2018,7,200762.50 ,16012859.20 
2018,8,174921.40 ,14936428.40 
2018,9,237251.90 ,15840892.60 
2018,10,316438.90 ,23482210.20 
2018,11,296605.00 ,25831139.20 
2018,12,311990.00 ,22770925.90 
2019,1,355138.70 ,24218564.50 
2019,2,242623.10 ,15985540.70 
2019,3,304769.10 ,19092893.50 
2019,5,293037.00 ,19850546.10 
2019,6,263792.20 ,17305828.10 
2019,7,317571.50 ,19833412.20 
2019,8,334165.80 ,18476056.60 
2019,9,234067.70 ,13130662.30 
2019,10,306206.50 ,22168836.40 
2019,11,357145.60 ,27486727.00 
2019,12,266613.60 ,25596639.60 
2020,1,332080.20 ,22999655.80 
2020,2,254889.60 ,14691350.00 
2020,3,436724.20 ,21919966.00 
