년도,월,가격,거래량,거래월
2000,01,479,4088280.0,2000-01
2000,02,516,3557610.0,2000-02
2000,03,744,4605658.0,2000-03
2000,04,953,11877910.0,2000-04
2000,05,616,20421827.0,2000-05
2000,06,386,20241228.0,2000-06
2000,07,409,7210424.0,2000-07
2000,08,460,8839641.0,2000-08
2000,09,510,8311447.0,2000-09
2000,10,535,6743671.0,2000-10
2000,11,633,7128877.0,2000-11
2000,12,678,5981641.0,2000-12
2001,01,687,4954414.0,2001-01
2001,02,703,5000049.0,2001-02
2001,03,721,5686194.0,2001-03
2001,04,407,16677338.0,2001-04
2001,05,258,25124817.0,2001-05
2001,06,329,18565015.0,2001-06
2001,07,358,7252501.0,2001-07
2001,08,350,8041309.0,2001-08
2001,09,382,7100282.0,2001-09
2001,10,438,5307344.0,2001-10
2001,11,448,5765720.0,2001-11
2001,12,450,5350309.0,2001-12
2002,01,450,6052343.0,2002-01
2002,02,443,5625494.0,2002-02
2002,03,392,7086569.0,2002-03
2002,04,319,18053302.0,2002-04
2002,05,288,24197983.0,2002-05
2002,06,333,17959913.0,2002-06
2002,07,348,8172416.0,2002-07
2002,08,365,7509173.0,2002-08
2002,09,426,7062549.0,2002-09
2002,10,452,7497502.0,2002-10
2002,11,472,6573069.0,2002-11
2002,12,538,5346962.0,2002-12
2003,01,774,4644175.0,2003-01
2003,02,1054,4441951.0,2003-02
2003,03,1737,8431616.0,2003-03
2003,04,1337,12978423.0,2003-04
2003,05,699,16848856.0,2003-05
2003,06,519,15458844.0,2003-06
2003,07,600,8285622.0,2003-07
2003,08,731,7360999.0,2003-08
2003,09,858,7048595.0,2003-09
2003,10,874,7876846.0,2003-10
2003,11,889,5891817.0,2003-11
2003,12,921,4386200.0,2003-12
2004,01,888,5771104.0,2004-01
2004,02,885,6051852.0,2004-02
2004,03,856,7575172.0,2004-03
2004,04,566,16894093.0,2004-04
2004,05,459,20292456.0,2004-05
2004,06,404,17161080.0,2004-06
2004,07,432,9311956.0,2004-07
2004,08,552,19108870.0,2004-08
2004,09,611,9662429.0,2004-09
2004,10,593,9408218.0,2004-10
2004,11,594,10019942.0,2004-11
2004,12,593,9037434.0,2004-12
2005,01,598,8165531.0,2005-01
2005,02,760,6470504.0,2005-02
2005,03,932,11165924.0,2005-03
2005,04,933,19880570.0,2005-04
2005,05,574,29490814.0,2005-05
2005,06,425,19407056.0,2005-06
2005,07,387,10518082.0,2005-07
2005,08,418,10223616.0,2005-08
2005,09,478,9279954.0,2005-09
2005,10,493,10023365.0,2005-10
2005,11,492,9709743.0,2005-11
2005,12,495,9045074.0,2005-12
2006,01,509,6674796.0,2006-01
2006,02,600,5901058.0,2006-02
2006,03,855,6818750.0,2006-03
2006,04,848,9166875.0,2006-04
2006,05,678,24591346.0,2006-05
2006,06,448,23470749.0,2006-06
2006,07,585,8832372.0,2006-07
2006,08,735,9872652.0,2006-08
2006,09,810,9563207.0,2006-09
2006,10,917,6783798.0,2006-10
2006,11,1051,8340381.0,2006-11
2006,12,1232,6904572.0,2006-12
2007,01,1106,8130006.0,2007-01
2007,02,1016,7382433.0,2007-02
2007,03,702,9876511.0,2007-03
2007,04,535,21631495.0,2007-04
2007,05,322,26077377.0,2007-05
2007,06,346,24805372.0,2007-06
2007,07,328,11533076.0,2007-07
2007,08,361,10631791.0,2007-08
2007,09,443,8896763.0,2007-09
2007,10,462,11405354.0,2007-10
2007,11,488,10260912.0,2007-11
2007,12,503,8847956.0,2007-12
2008,01,517,10504096.0,2008-01
2008,02,529,8143412.0,2008-02
2008,03,522,10053952.0,2008-03
2008,04,727,12767493.0,2008-04
2008,05,592,19805325.0,2008-05
2008,06,650,16153646.0,2008-06
2008,07,763,11602366.0,2008-07
2008,08,777,9665790.0,2008-08
2008,09,778,8406178.0,2008-09
2008,10,822,9891842.0,2008-10
2008,11,930,8511827.0,2008-11
2008,12,983,5853737.0,2008-12
2009,01,1040,6068456.0,2009-01
2009,02,1306,5109409.0,2009-02
2009,03,1388,7377596.0,2009-03
2009,04,1091,19122402.0,2009-04
2009,05,811,19647356.0,2009-05
2009,06,497,14917629.0,2009-06
2009,07,518,8791591.0,2009-07
2009,08,620,8025365.0,2009-08
2009,09,659,8630098.0,2009-09
2009,10,671,6071704.0,2009-10
2009,11,669,8348655.0,2009-11
2009,12,619,7425391.0,2009-12
2010,01,603,6546011.0,2010-01
2010,02,658,5685678.0,2010-02
2010,03,914,7940150.0,2010-03
2010,04,1505,11931252.0,2010-04
2010,05,959,22642986.0,2010-05
2010,06,627,15342716.0,2010-06
2010,07,770,7728898.0,2010-07
2010,08,884,7334270.0,2010-08
2010,09,938,5485026.0,2010-09
2010,10,920,7709510.0,2010-10
2010,11,938,8190214.0,2010-11
2010,12,927,6453615.0,2010-12
2011,01,1060,6874167.0,2011-01
2011,02,1353,5128667.0,2011-02
2011,03,1106,8369126.0,2011-03
2011,04,608,15877880.0,2011-04
2011,05,486,25190764.0,2011-05
2011,06,574,17020979.0,2011-06
2011,07,680,8643710.0,2011-07
2011,08,750,8955102.0,2011-08
2011,09,760,8023476.0,2011-09
2011,10,787,8508984.0,2011-10
2011,11,777,8766426.0,2011-11
2011,12,726,10366327.0,2011-12
2012,01,693,9537639.0,2012-01
2012,02,674,10842090.0,2012-02
2012,03,609,12858451.0,2012-03
2012,04,557,12902124.0,2012-04
2012,05,765,21882445.0,2012-05
2012,06,840,19744931.0,2012-06
2012,07,896,8883495.0,2012-07
2012,08,995,9009347.0,2012-08
2012,09,1050,8843672.0,2012-09
2012,10,1139,7136135.0,2012-10
2012,11,1253,8097047.0,2012-11
2012,12,1322,6129839.0,2012-12
2013,01,1408,6418194.0,2013-01
2013,02,1761,5168522.0,2013-02
2013,03,2023,5586493.0,2013-03
2013,04,2488,11171921.0,2013-04
2013,05,1725,19052419.0,2013-05
2013,06,947,23336366.0,2013-06
2013,07,775,11644901.0,2013-07
2013,08,830,9307029.0,2013-08
2013,09,932,9228964.0,2013-09
2013,10,960,9424664.0,2013-10
2013,11,983,9482649.0,2013-11
2013,12,881,10221686.0,2013-12
2014,01,810,6988576.0,2014-01
2014,02,774,6604381.0,2014-02
2014,03,687,8644917.0,2014-03
2014,04,636,14710675.0,2014-04
2014,05,617,16716324.0,2014-05
2014,06,498,18552079.0,2014-06
2014,07,456,10840215.0,2014-07
2014,08,497,9723305.0,2014-08
2014,09,526,12757110.0,2014-09
2014,10,524,14979723.0,2014-10
2014,11,520,13247661.0,2014-11
2014,12,520,16188256.0,2014-12
2015,01,520,13916582.0,2015-01
2015,02,564,11005449.0,2015-02
2015,03,658,13611617.0,2015-03
2015,04,649,22077825.0,2015-04
2015,05,752,26358838.0,2015-05
2015,06,848,21043412.0,2015-06
2015,07,1150,11093561.0,2015-07
2015,08,1386,9229835.0,2015-08
2015,09,1400,8490471.0,2015-09
2015,10,1417,8880530.0,2015-10
2015,11,1594,5140211.0,2015-11
2015,12,1717,5205746.0,2015-12
2016,01,1673,5764941.0,2016-01
2016,02,1632,6459564.0,2016-02
2016,03,1608,7560688.0,2016-03
2016,04,1563,17277543.0,2016-04
2016,05,734,16873516.0,2016-05
2016,06,725,16648589.0,2016-06
2016,07,707,8029492.0,2016-07
2016,08,818,9600743.0,2016-08
2016,09,921,9254523.0,2016-09
2016,10,973,7794232.0,2016-10
2016,11,1028,9789585.0,2016-11
2016,12,1061,9072989.0,2016-12
2017,01,1235,8035271.0,2017-01
2017,02,1336,6372340.0,2017-02
2017,03,1415,7762689.0,2017-03
2017,04,1227,15189698.0,2017-04
2017,05,1020,15312054.0,2017-05
2017,06,1070,14758509.0,2017-06
2017,07,1203,6830068.0,2017-07
2017,08,1279,7085556.0,2017-08
2017,09,1280,7847715.0,2017-09
2017,10,1246,5899830.0,2017-10
2017,11,1247,7305250.0,2017-11
2017,12,1221,6932989.0,2017-12
2018,01,1195,7499431.0,2018-01
2018,02,1124,6462395.0,2018-02
2018,03,907,9351092.0,2018-03
2018,04,786,14833293.0,2018-04
2018,05,835,14288971.0,2018-05
2018,06,700,18794137.0,2018-06
2018,07,665,9238917.0,2018-07
2018,08,769,9401708.0,2018-08
2018,09,780,9718157.0,2018-09
2018,10,720,11378143.0,2018-10
2018,11,699,10670849.0,2018-11
2018,12,661,7993584.0,2018-12
2019,01,615,11386045.0,2019-01
2019,02,605,8482183.0,2019-02
2019,03,673,12972633.0,2019-03
2019,04,868,16234891.0,2019-04
2019,05,658,19802702.0,2019-05
2019,06,485,23532282.0,2019-06
2019,07,423,11792515.0,2019-07
2019,08,500,11930394.0,2019-08
2019,09,539,12329636.0,2019-09
2019,10,521,13598455.0,2019-10
2019,11,605,12481686.0,2019-11
2019,12,749,12769215.0,2019-12
