구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,"10,332","10,531","10,609","10,642","10,543","10,284","9,945","9,273","8,944","7,880","6,903","6,699","9,283"
1997,"6,504","6,091","5,933","5,562","5,382","5,392","5,399","5,289","6,160","6,156","6,113","6,129","5,840"
1998,"6,163","6,134","6,064","5,983","6,008","6,221","6,419","6,733","11,314","10,954","11,004","11,029","7,879"
1999,"11,238","11,267","11,253","11,233","11,219","10,822","9,992","8,804","7,590","7,964","8,287","8,024","9,761"
2000,"7,972","8,293","8,433","8,375","8,367","8,601","8,385","7,221","8,181","9,410","9,400","9,368","8,501"
2001,"9,367","9,403","9,467","9,467","9,500","10,209","10,211","9,137","9,764","9,592","9,474","9,433","9,584"
2002,"9,387","9,427","9,295","8,556","7,839","7,500","7,289","6,565","8,367","8,465","8,300","8,228","8,256"
2003,"8,264","8,522","8,807","8,557","8,521","8,911","9,247","10,016","12,687","13,144","13,033","13,051","10,250"
2004,"13,119","13,243","13,356","13,229","12,993","12,497","12,318","10,849","10,847","10,684","10,761","10,863","12,139"
2005,"10,810","10,835","10,909","10,837","10,620","9,967","9,827","8,971","9,692","9,659","9,733","9,733","10,106"
2006,"9,738","9,781","9,777","9,448","9,233","9,227","9,322","10,305","13,480","13,468","13,421","13,400","10,875"
2007,"13,400","13,400","13,329","13,149","12,633","12,268","11,892","9,221","9,363","10,079","10,333","10,304","11,630"
2008,"10,268","10,200","10,200","9,968","9,639","9,818","9,967","10,163","11,337","11,415","11,398","11,394","10,490"
2009,"11,153","11,027","11,000","11,002","10,932","11,174","11,267","11,688","12,806","12,783","12,441","12,075","11,619"
2010,"11,957","11,900","11,900","11,894","11,833","11,833","11,742","11,851","12,612","16,924","17,545","17,574","13,358"
2011,"17,546","17,676","17,700","17,700","17,647","17,633","17,605","20,274","29,808","28,592","28,349","28,000","21,567"
2012,"28,000","28,000","28,000","27,533","26,262","25,667","25,576","25,129","23,683","21,873","21,833","21,237","25,236"
2013,"20,311","20,167","19,708","18,024","16,992","16,833","16,833","15,835","14,693","14,614","14,400","14,400","16,908"
2014,"14,350","14,217","14,008","13,773","13,667","13,667","14,010","15,348","17,493","17,368","17,233","16,946","15,152"
2015,"16,833","16,833","16,833","16,833","16,833","16,833","16,833","16,694","16,730","16,317","15,997","15,776","16,610"
2016,"15,332","15,300","15,127","14,232","13,700","13,667","13,246","12,061","13,000","12,333","12,288","12,333","13,524"
2017,"12,183","11,833","11,985","11,892","11,614","11,887","12,560","14,337","24,833","27,125","25,750","24,711","16,555"
2018,"23,833","23,731","23,071","23,167","23,167","23,514","23,402","25,596","27,618","24,095","23,122","23,202","23,916"
2019,"22,736","22,389","22,470","22,320","22,312","22,092","21,827","20,445","19,895","18,825","18,698","18,788","21,068"
