년도,월,가격
2000,1,7972 
2000,2,8293 
2000,3,8433 
2000,4,8375 
2000,5,8367 
2000,6,8601 
2000,7,8385 
2000,8,7221 
2000,9,8181 
2000,10,9410 
2000,11,9400 
2000,12,9368 
2001,1,9367 
2001,2,9403 
2001,3,9467 
2001,4,9467 
2001,5,9500 
2001,6,10209 
2001,7,10211 
2001,8,9137 
2001,9,9764 
2001,10,9592 
2001,11,9474 
2001,12,9433 
2002,1,9387 
2002,2,9427 
2002,3,9295 
2002,4,8556 
2002,5,7839 
2002,6,7500 
2002,7,7289 
2002,8,6565 
2002,9,8367 
2002,10,8465 
2002,11,8300 
2002,12,8228 
2003,1,8264 
2003,2,8522 
2003,3,8807 
2003,4,8557 
2003,5,8521 
2003,6,8911 
2003,7,9247 
2003,8,10016 
2003,9,12687 
2003,10,13144 
2003,11,13033 
2003,12,13051 
2004,1,13119 
2004,2,13243 
2004,3,13356 
2004,4,13229 
2004,5,12993 
2004,6,12497 
2004,7,12318 
2004,8,10849 
2004,9,10847 
2004,10,10684 
2004,11,10761 
2004,12,10863 
2005,1,10810 
2005,2,10835 
2005,3,10909 
2005,4,10837 
2005,5,10620 
2005,6,9967 
2005,7,9827 
2005,8,8971 
2005,9,9692 
2005,10,9659 
2005,11,9733 
2005,12,9733 
2006,1,9738 
2006,2,9781 
2006,3,9777 
2006,4,9448 
2006,5,9233 
2006,6,9227 
2006,7,9322 
2006,8,10305 
2006,9,13480 
2006,10,13468 
2006,11,13421 
2006,12,13400 
2007,1,13400 
2007,2,13400 
2007,3,13329 
2007,4,13149 
2007,5,12633 
2007,6,12268 
2007,7,11892 
2007,8,9221 
2007,9,9363 
2007,10,10079 
2007,11,10333 
2007,12,10304 
2008,1,10268 
2008,2,10200 
2008,3,10200 
2008,4,9968 
2008,5,9639 
2008,6,9818 
2008,7,9967 
2008,8,10163 
2008,9,11337 
2008,10,11415 
2008,11,11398 
2008,12,11394 
2009,1,11153 
2009,2,11027 
2009,3,11000 
2009,4,11002 
2009,5,10932 
2009,6,11174 
2009,7,11267 
2009,8,11688 
2009,9,12806 
2009,10,12783 
2009,11,12441 
2009,12,12075 
2010,1,11957 
2010,2,11900 
2010,3,11900 
2010,4,11894 
2010,5,11833 
2010,6,11833 
2010,7,11742 
2010,8,11851 
2010,9,12612 
2010,10,16924 
2010,11,17545 
2010,12,17574 
2011,1,17546 
2011,2,17676 
2011,3,17700 
2011,4,17700 
2011,5,17647 
2011,6,17633 
2011,7,17605 
2011,8,20274 
2011,9,29808 
2011,10,28592 
2011,11,28349 
2011,12,28000 
2012,1,28000 
2012,2,28000 
2012,3,28000 
2012,4,27533 
2012,5,26262 
2012,6,25667 
2012,7,25576 
2012,8,25129 
2012,9,23683 
2012,10,21873 
2012,11,21833 
2012,12,21237 
2013,1,20311 
2013,2,20167 
2013,3,19708 
2013,4,18024 
2013,5,16992 
2013,6,16833 
2013,7,16833 
2013,8,15835 
2013,9,14693 
2013,10,14614 
2013,11,14400 
2013,12,14400 
2014,1,14350 
2014,2,14217 
2014,3,14008 
2014,4,13773 
2014,5,13667 
2014,6,13667 
2014,7,14010 
2014,8,15348 
2014,9,17493 
2014,10,17368 
2014,11,17233 
2014,12,16946 
2015,1,16833 
2015,2,16833 
2015,3,16833 
2015,4,16833 
2015,5,16833 
2015,6,16833 
2015,7,16833 
2015,8,16694 
2015,9,16730 
2015,10,16317 
2015,11,15997 
2015,12,15776 
2016,1,15332 
2016,2,15300 
2016,3,15127 
2016,4,14232 
2016,5,13700 
2016,6,13667 
2016,7,13246 
2016,8,12061 
2016,9,13000 
2016,10,12333 
2016,11,12288 
2016,12,12333 
2017,1,12183 
2017,2,11833 
2017,3,11985 
2017,4,11892 
2017,5,11614 
2017,6,11887 
2017,7,12560 
2017,8,14337 
2017,9,24833 
2017,10,27125 
2017,11,25750 
2017,12,24711 
2018,1,23833 
2018,2,23731 
2018,3,23071 
2018,4,23167 
2018,5,23167 
2018,6,23514 
2018,7,23402 
2018,8,25596 
2018,9,27618 
2018,10,24095 
2018,11,23122 
2018,12,23202 
2019,1,22736 
2019,2,22389 
2019,3,22470 
2019,4,22320 
2019,5,22312 
2019,6,22092 
2019,7,21827 
2019,8,20445 
2019,9,19895 
2019,10,18825 
2019,11,18698 
2019,12,18788 
