구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1996,"8,742","9,008","9,073","9,079","8,960","8,658","8,124","7,372","6,995","5,847","5,170","4,929","7,559"
1997,"4,688","4,317","4,280","4,049","4,010","4,090","4,188","4,233","4,844","4,718","4,600","4,606","4,386"
1998,"4,596","4,610","4,590","4,556","4,577","4,843","4,977","5,359","9,293","8,856","8,902","8,924","6,212"
1999,"9,188","9,267","9,189","9,167","9,152","8,513","7,287","6,426","5,897","6,531","7,033","6,933","7,841"
2000,"6,984","7,291","7,333","7,243","7,233","7,583","7,383","6,381","7,068","7,690","7,572","7,421","7,263"
2001,"7,486","7,707","7,732","7,678","7,936","9,095","8,695","7,572","8,273","8,021","7,806","7,792","7,984"
2002,"7,777","7,827","7,719","7,051","6,284","5,933","5,708","4,941","6,551","6,238","6,001","5,928","6,480"
2003,"5,937","6,171","6,476","6,265","6,303","6,676","6,935","7,876","10,242","9,980","10,033","10,083","7,763"
2004,"10,320","10,560","10,754","10,525","10,206","9,791","9,756","8,754","8,811","8,605","8,738","8,927","9,698"
2005,"8,860","8,869","9,044","8,971","8,765","8,062","7,961","7,238","7,500","7,449","7,491","7,520","8,118"
2006,"7,538","7,561","7,553","7,265","7,100","7,116","7,255","8,445","10,718","10,668","10,605","10,567","8,528"
2007,"10,514","10,467","10,337","10,073","9,610","9,303","9,025","7,417","7,376","7,768","7,859","7,837","8,978"
2008,"7,802","7,733","7,905","7,716","7,374","7,823","8,407","8,733","9,654","9,749","9,700","9,690","8,541"
2009,"9,546","9,480","9,467","9,409","9,432","9,882","9,933","10,060","10,280","9,998","9,675","9,410","9,721"
2010,"9,328","9,300","9,300","9,273","9,200","9,200","9,167","9,370","10,374","13,917","14,721","14,930","10,731"
2011,"14,759","14,700","14,700","14,686","14,520","14,567","14,600","17,205","25,767","24,058","23,727","23,667","18,099"
2012,"23,667","23,667","23,365","22,200","21,167","20,950","21,000","21,364","20,100","18,238","17,273","16,597","20,807"
2013,"15,341","15,167","15,092","14,442","13,465","13,433","13,390","12,105","11,556","11,484","11,333","11,333","13,188"
2014,"11,333","11,100","10,889","10,773","10,667","10,912","11,365","12,827","14,789","14,451","14,333","14,003","12,263"
2015,"13,730","13,667","13,667","13,667","13,667","13,667","13,667","13,670","13,883","13,687","13,497","13,332","13,649"
2016,"13,013","13,000","12,891","12,305","11,867","11,833","11,484","10,333","10,728","9,820","9,673","9,667","11,359"
2017,"9,517","9,333","9,485","9,392","9,177","9,558","10,775","12,466","20,952","23,229","21,629","20,561","13,692"
2018,"19,667","19,565","19,056","19,167","19,167","19,918","19,896","21,575","23,430","20,553","19,647","20,016","20,099"
2019,"19,674","19,453","19,587","19,219","19,112","18,892","18,681","17,106","15,561","14,349","14,419","14,448","17,545"
