년도,월,가격
2000,1,6984 
2000,2,7291 
2000,3,7333 
2000,4,7243 
2000,5,7233 
2000,6,7583 
2000,7,7383 
2000,8,6381 
2000,9,7068 
2000,10,7690 
2000,11,7572 
2000,12,7421 
2001,1,7486 
2001,2,7707 
2001,3,7732 
2001,4,7678 
2001,5,7936 
2001,6,9095 
2001,7,8695 
2001,8,7572 
2001,9,8273 
2001,10,8021 
2001,11,7806 
2001,12,7792 
2002,1,7777 
2002,2,7827 
2002,3,7719 
2002,4,7051 
2002,5,6284 
2002,6,5933 
2002,7,5708 
2002,8,4941 
2002,9,6551 
2002,10,6238 
2002,11,6001 
2002,12,5928 
2003,1,5937 
2003,2,6171 
2003,3,6476 
2003,4,6265 
2003,5,6303 
2003,6,6676 
2003,7,6935 
2003,8,7876 
2003,9,10242 
2003,10,9980 
2003,11,10033 
2003,12,10083 
2004,1,10320 
2004,2,10560 
2004,3,10754 
2004,4,10525 
2004,5,10206 
2004,6,9791 
2004,7,9756 
2004,8,8754 
2004,9,8811 
2004,10,8605 
2004,11,8738 
2004,12,8927 
2005,1,8860 
2005,2,8869 
2005,3,9044 
2005,4,8971 
2005,5,8765 
2005,6,8062 
2005,7,7961 
2005,8,7238 
2005,9,7500 
2005,10,7449 
2005,11,7491 
2005,12,7520 
2006,1,7538 
2006,2,7561 
2006,3,7553 
2006,4,7265 
2006,5,7100 
2006,6,7116 
2006,7,7255 
2006,8,8445 
2006,9,10718 
2006,10,10668 
2006,11,10605 
2006,12,10567 
2007,1,10514 
2007,2,10467 
2007,3,10337 
2007,4,10073 
2007,5,9610 
2007,6,9303 
2007,7,9025 
2007,8,7417 
2007,9,7376 
2007,10,7768 
2007,11,7859 
2007,12,7837 
2008,1,7802 
2008,2,7733 
2008,3,7905 
2008,4,7716 
2008,5,7374 
2008,6,7823 
2008,7,8407 
2008,8,8733 
2008,9,9654 
2008,10,9749 
2008,11,9700 
2008,12,9690 
2009,1,9546 
2009,2,9480 
2009,3,9467 
2009,4,9409 
2009,5,9432 
2009,6,9882 
2009,7,9933 
2009,8,10060 
2009,9,10280 
2009,10,9998 
2009,11,9675 
2009,12,9410 
2010,1,9328 
2010,2,9300 
2010,3,9300 
2010,4,9273 
2010,5,9200 
2010,6,9200 
2010,7,9167 
2010,8,9370 
2010,9,10374 
2010,10,13917 
2010,11,14721 
2010,12,14930 
2011,1,14759 
2011,2,14700 
2011,3,14700 
2011,4,14686 
2011,5,14520 
2011,6,14567 
2011,7,14600 
2011,8,17205 
2011,9,25767 
2011,10,24058 
2011,11,23727 
2011,12,23667 
2012,1,23667 
2012,2,23667 
2012,3,23365 
2012,4,22200 
2012,5,21167 
2012,6,20950 
2012,7,21000 
2012,8,21364 
2012,9,20100 
2012,10,18238 
2012,11,17273 
2012,12,16597 
2013,1,15341 
2013,2,15167 
2013,3,15092 
2013,4,14442 
2013,5,13465 
2013,6,13433 
2013,7,13390 
2013,8,12105 
2013,9,11556 
2013,10,11484 
2013,11,11333 
2013,12,11333 
2014,1,11333 
2014,2,11100 
2014,3,10889 
2014,4,10773 
2014,5,10667 
2014,6,10912 
2014,7,11365 
2014,8,12827 
2014,9,14789 
2014,10,14451 
2014,11,14333 
2014,12,14003 
2015,1,13730 
2015,2,13667 
2015,3,13667 
2015,4,13667 
2015,5,13667 
2015,6,13667 
2015,7,13667 
2015,8,13670 
2015,9,13883 
2015,10,13687 
2015,11,13497 
2015,12,13332 
2016,1,13013 
2016,2,13000 
2016,3,12891 
2016,4,12305 
2016,5,11867 
2016,6,11833 
2016,7,11484 
2016,8,10333 
2016,9,10728 
2016,10,9820 
2016,11,9673 
2016,12,9667 
2017,1,9517 
2017,2,9333 
2017,3,9485 
2017,4,9392 
2017,5,9177 
2017,6,9558 
2017,7,10775 
2017,8,12466 
2017,9,20952 
2017,10,23229 
2017,11,21629 
2017,12,20561 
2018,1,19667 
2018,2,19565 
2018,3,19056 
2018,4,19167 
2018,5,19167 
2018,6,19918 
2018,7,19896 
2018,8,21575 
2018,9,23430 
2018,10,20553 
2018,11,19647 
2018,12,20016 
2019,1,19674 
2019,2,19453 
2019,3,19587 
2019,4,19219 
2019,5,19112 
2019,6,18892 
2019,7,18681 
2019,8,17106 
2019,9,15561 
2019,10,14349 
2019,11,14419 
2019,12,14448 
