년도,월,가격
2000,1,1410 
2000,2,1496 
2000,3,1709 
2000,4,1754 
2000,5,1885 
2000,6,1428 
2000,7,1379 
2000,8,1500 
2000,9,1770 
2000,10,1790 
2000,11,1771 
2000,12,1750 
2001,1,1764 
2001,2,1835 
2001,3,1816 
2001,4,1738 
2001,5,1393 
2001,6,1349 
2001,7,1554 
2001,8,1640 
2001,9,1676 
2001,10,1686 
2001,11,1705 
2001,12,1735 
2002,1,1847 
2002,2,2200 
2002,3,2321 
2002,4,2288 
2002,5,2140 
2002,6,1903 
2002,7,1837 
2002,8,1799 
2002,9,1800 
2002,10,1800 
2002,11,1809 
2002,12,1823 
2003,1,1889 
2003,2,2100 
2003,3,2227 
2003,4,2302 
2003,5,2218 
2003,6,2007 
2003,7,1879 
2003,8,1912 
2003,9,2194 
2003,10,2271 
2003,11,2330 
2003,12,2524 
2004,1,2839 
2004,2,2840 
2004,3,2847 
2004,4,2940 
2004,5,2890 
2004,6,2235 
2004,7,2060 
2004,8,2108 
2004,9,2153 
2004,10,2160 
2004,11,2160 
2004,12,2219 
2005,1,2335 
2005,2,2386 
2005,3,2448 
2005,4,2394 
2005,5,2264 
2005,6,2172 
2005,7,2079 
2005,8,1934 
2005,9,1889 
2005,10,1907 
2005,11,1954 
2005,12,2013 
2006,1,2101 
2006,2,2150 
2006,3,2178 
2006,4,2145 
2006,5,1964 
2006,6,1773 
2006,7,1773 
2006,8,1984 
2006,9,2176 
2006,10,2214 
2006,11,2233 
2006,12,2275 
2007,1,2359 
2007,2,2480 
2007,3,2449 
2007,4,2651 
2007,5,3113 
2007,6,2066 
2007,7,2025 
2007,8,2083 
2007,9,2100 
2007,10,2114 
2007,11,2114 
2007,12,2133 
2008,1,2116 
2008,2,2140 
2008,3,2175 
2008,4,2199 
2008,5,1981 
2008,6,1674 
2008,7,1630 
2008,8,1649 
2008,9,1791 
2008,10,1831 
2008,11,1820 
2008,12,1822 
2009,1,1790 
2009,2,1827 
2009,3,1854 
2009,4,1839 
2009,5,1820 
2009,6,1742 
2009,7,1893 
2009,8,2123 
2009,9,2350 
2009,10,2384 
2009,11,2384 
2009,12,2562 
2010,1,2741 
2010,2,2823 
2010,3,2741 
2010,4,2725 
2010,5,3326 
2010,6,3492 
2010,7,4741 
2010,8,5621 
2010,9,6337 
2010,10,6205 
2010,11,5925 
2010,12,5709 
2011,1,5679 
2011,2,5813 
2011,3,5810 
2011,4,5413 
2011,5,4705 
2011,6,4269 
2011,7,4133 
2011,8,3375 
2011,9,3382 
2011,10,3566 
2011,11,3591 
2011,12,3678 
2012,1,5679 
2012,2,5813 
2012,3,5810 
2012,4,5413 
2012,5,4705 
2012,6,4269 
2012,7,4133 
2012,8,3375 
2012,9,3382 
2012,10,3566 
2012,11,3591 
2012,12,3678 
2013,1,3863 
2013,2,3880 
2013,3,3940 
2013,4,3936 
2013,5,3795 
2013,6,3027 
2013,7,2708 
2013,8,2564 
2013,9,2598 
2013,10,2722 
2013,11,2780 
2013,12,2759 
2014,1,2772 
2014,2,2780 
2014,3,2751 
2014,4,2740 
2014,5,2745 
2014,6,2777 
2014,7,3326 
2014,8,3367 
2014,9,3340 
2014,10,3394 
2014,11,3356 
2014,12,3380 
2015,1,3412 
2015,2,3460 
2015,3,3506 
2015,4,3491 
2015,5,3540 
2015,6,3942 
2015,7,4810 
2015,8,4611 
2015,9,4584 
2015,10,5191 
2015,11,5571 
2015,12,5716 
2016,1,5862 
2016,2,6030 
2016,3,5781 
2016,4,5797 
2016,5,6261 
2016,6,6273 
2016,7,5977 
2016,8,5838 
2016,9,5919 
2016,10,6014 
2016,11,6124 
2016,12,6260 
2017,1,6260 
2017,2,6475 
2017,3,6356 
2017,4,6365 
2017,5,6161 
2017,6,6214 
2017,7,6020 
2017,8,5863 
2017,9,5860 
2017,10,5849 
2017,11,5800 
2017,12,5800 
2018,1,5800 
2018,2,5800 
2018,3,5798 
2018,4,5749 
2018,5,5708 
2018,6,5783 
2018,7,5601 
2018,8,5360 
2018,9,5331 
2018,10,5234 
2018,11,5201 
2018,12,5259 
2019,1,5260 
2019,2,5137 
2019,3,5060 
2019,4,5100 
2019,5,5100 
2019,6,4833 
2019,7,3898 
2019,8,3451 
2019,9,3320 
2019,10,3320 
2019,11,3341 
2019,12,3320 
