구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
1999,"15,358","20,118","19,240","16,045","13,106","7,618","6,154","7,909","8,779","8,972","9,058","9,186","11,600"
2000,"9,581","10,320","14,875","19,066","12,327","7,718","8,182","9,205","10,197","10,692","12,657","13,552","11,516"
2001,"13,734","14,062","14,422","8,141","5,150","6,573","7,155","7,003","7,630","8,753","8,969","9,000","9,190"
2002,"9,000","8,869","7,834","6,388","5,755","6,661","6,966","7,309","8,529","9,035","9,440","10,758","8,040"
2003,"15,485","21,087","34,746","26,748","13,972","10,373","12,003","14,612","17,167","17,472","17,789","18,411","18,316"
2004,"17,765","17,693","17,129","11,326","9,187","8,080","8,647","11,042","12,223","11,859","11,885","11,850","12,427"
2005,"11,954","15,207","18,631","18,669","11,489","8,493","7,745","8,357","9,553","9,851","9,833","9,898","11,529"
2006,"10,189","12,008","17,091","16,966","13,568","8,964","11,704","14,691","16,205","18,337","21,029","24,634","15,404"
2007,"22,118","20,326","14,044","10,705","6,434","6,922","6,568","7,225","8,864","9,245","9,756","10,067","11,024"
2008,"10,331","10,571","10,434","14,534","11,836","12,998","15,257","15,536","15,552","16,447","18,604","19,650","14,361"
2009,"20,806","26,110","27,755","21,823","16,221","9,945","10,355","12,400","13,176","13,410","13,371","12,371","16,387"
2010,"12,060","13,164","18,282","30,373","19,189","12,543","15,398","17,685","18,768","18,400","18,755","18,548","17,856"
2011,"21,190","27,059","22,127","12,125","9,710","11,476","13,600","15,009","15,200","15,740","15,536","14,524","15,980"
2012,"13,860","13,486","12,189","11,425","15,295","16,790","17,918","19,891","21,000","22,771","25,055","26,432","18,013"
2013,"28,164","35,211","40,460","48,918","34,495","18,947","15,504","16,600","18,633","19,200","19,667","17,610","26,149"
2014,"16,200","15,480","13,731","12,685","12,335","9,958","9,118","9,949","10,529","10,486","10,400","10,400","11,767"
2015,"10,400","11,271","13,155","13,764","15,033","16,964","22,991","27,710","27,990","28,343","31,876","34,343","21,269"
2016,"33,450","32,633","32,155","27,725","14,680","14,495","14,133","16,355","18,421","19,450","20,564","21,219","21,991"
2017,"24,690","26,720","28,300","24,540","20,400","21,390","24,067","25,582","25,590","24,913","24,945","24,411","24,672"
2018,"23,895","22,489","18,133","16,562","16,700","13,995","13,302","15,382","15,600","14,390","13,986","13,211","16,460"
2019,"12,304","12,104","13,463","17,884","13,152","9,700","8,452","9,990","10,774","10,410","12,100","14,970","12,116"
2020,"18,578","22,008","23,468","24,433",-,-,-,-,-,-,-,-,"21,908"
