년도,지역,면적 (ha),생산량 (톤)
2000,강원도,5164,12061
2000,경기도,6448,14347
2000,경상남도,3254,5928
2000,경상북도,18872,50874
2000,광주광역시,197,401
2000,대구광역시,228,323
2000,대전광역시,187,412
2000,부산광역시,65,118
2000,서울특별시,25,56
2000,울산광역시,261,544
2000,인천광역시,935,2460
2000,전라남도,9815,25589
2000,전라북도,9498,25130
2000,제주도,33,35
2000,충청남도,7942,20187
2000,충청북도,11547,35321
2001,강원도,5019,11652
2001,경기도,5740,8907
2001,경상남도,2893,6330
2001,경상북도,18124,47512
2001,광주광역시,181,443
2001,대구광역시,188,366
2001,대전광역시,178,377
2001,부산광역시,77,163
2001,서울특별시,30,47
2001,울산광역시,223,468
2001,인천광역시,822,1918
2001,전라남도,9567,27660
2001,전라북도,8858,24237
2001,제주도,16,17
2001,충청남도,7793,20072
2001,충청북도,11027,29951
2002,강원도,4795,11959
2002,경기도,4960,11496
2002,경상남도,2937,5942
2002,경상북도,18371,51024
2002,광주광역시,190,514
2002,대구광역시,198,387
2002,대전광역시,161,391
2002,부산광역시,76,147
2002,서울특별시,21,49
2002,울산광역시,193,417
2002,인천광역시,812,2051
2002,전라남도,11069,32798
2002,전라북도,8945,24630
2002,제주도,9,4
2002,충청남도,7881,18341
2002,충청북도,11486,32603
2003,강원도,3736,9758
2003,경기도,4242,9332
2003,경상남도,2590,5026
2003,경상북도,15269,35967
2003,광주광역시,119,245
2003,대구광역시,178,251
2003,대전광역시,131,223
2003,부산광역시,54,52
2003,서울특별시,23,51
2003,울산광역시,180,299
2003,인천광역시,711,2240
2003,전라남도,8863,18632
2003,전라북도,7167,15392
2003,제주도,20,28
2003,충청남도,6099,13203
2003,충청북도,8120,21311
2004,강원도,3639,7618
2004,경기도,4346,8523
2004,경상남도,2768,6895
2004,경상북도,16193,42243
2004,광주광역시,195,428
2004,대구광역시,198,273
2004,대전광역시,160,311
2004,부산광역시,57,161
2004,서울특별시,27,53
2004,울산광역시,215,471
2004,인천광역시,762,1539
2004,전라남도,9918,29199
2004,전라북도,7700,18036
2004,제주도,26,37
2004,충청남도,6572,14889
2004,충청북도,9118,24286
2005,강원도,3873,9877
2005,경기도,4841,10359
2005,경상남도,2861,7842
2005,경상북도,15935,46455
2005,광주광역시,160,403
2005,대구광역시,178,361
2005,대전광역시,153,286
2005,부산광역시,66,132
2005,서울특별시,25,53
2005,울산광역시,220,475
2005,인천광역시,808,2156
2005,전라남도,9852,27636
2005,전라북도,7389,19477
2005,제주도,78,129
2005,충청남도,6254,13832
2005,충청북도,8606,21907
2006,강원도,3346,7773
2006,경기도,4104,7563
2006,경상남도,2355,3872
2006,경상북도,13749,33830
2006,광주광역시,146,262
2006,대구광역시,219,223
2006,대전광역시,99,215
2006,부산광역시,53,87
2006,서울특별시,21,37
2006,울산광역시,219,371
2006,인천광역시,679,1318
2006,전라남도,8833,19203
2006,전라북도,6722,13904
2006,제주도,42,61
2006,충청남도,5380,12205
2006,충청북도,7130,15991
2007,강원도,3522,9200
2007,경기도,3881,9510
2007,경상남도,2275,6499
2007,경상북도,14761,46779
2007,광주광역시,152,407
2007,대구광역시,160,327
2007,대전광역시,114,246
2007,부산광역시,52,148
2007,서울특별시,25,60
2007,울산광역시,205,429
2007,인천광역시,677,1855
2007,전라남도,9284,30376
2007,전라북도,6839,19170
2007,제주도,33,45
2007,충청남도,5754,15779
2007,충청북도,7142,19567
2008,강원도,3378,7766
2008,경기도,3557,7307
2008,경상남도,2294,6276
2008,경상북도,12991,34037
2008,광주광역시,164,346
2008,대구광역시,158,338
2008,대전광역시,101,228
2008,부산광역시,69,189
2008,서울특별시,19,40
2008,울산광역시,167,346
2008,인천광역시,605,1385
2008,전라남도,8305,24525
2008,전라북도,5895,13841
2008,제주도,17,24
2008,충청남도,5316,12431
2008,충청북도,5789,14429
2009,강원도,2959,7477
2009,경기도,3378,7708
2009,경상남도,2285,6078
2009,경상북도,11781,36513
2009,광주광역시,143,255
2009,대구광역시,171,259
2009,대전광역시,94,137
2009,부산광역시,60,99
2009,서울특별시,21,37
2009,울산광역시,169,337
2009,인천광역시,599,1794
2009,전라남도,7464,17528
2009,전라북도,5479,12370
2009,제주도,34,48
2009,충청남도,4873,11115
2009,충청북도,5307,15569
2010,강원도,3325,7049
2010,경기도,3348,5614
2010,경상남도,2298,4405
2010,경상북도,11699,26703
2010,광주광역시,129,248
2010,대구광역시,169,321
2010,대전광역시,96,157
2010,부산광역시,34,48
2010,서울특별시,7,12
2010,울산광역시,130,205
2010,인천광역시,532,1249
2010,전라남도,7650,18180
2010,전라북도,5437,10753
2010,제주도,38,70
2010,충청남도,4761,9930
2010,충청북도,4931,10448
2011,강원도,3016,3789
2011,경기도,3129,3639
2011,경상남도,2628,5689
2011,경상북도,10896,24421
2011,광주광역시,116,260
2011,대구광역시,160,326
2011,대전광역시,92,89
2011,부산광역시,58,65
2011,서울특별시,8,9
2011,울산광역시,169,275
2011,인천광역시,552,772
2011,전라남도,7265,16326
2011,전라북도,5432,11027
2011,제주도,37,63
2011,충청남도,4428,5491
2011,충청북도,4588,4869
2012,강원도,2994,6154
2012,경기도,3176,6335
2012,경상남도,2762,6234
2012,경상북도,12059,31373
2012,광주광역시,158,319
2012,대구광역시,136,302
2012,대전광역시,126,300
2012,부산광역시,58,138
2012,서울특별시,8,16
2012,울산광역시,142,362
2012,인천광역시,583,1525
2012,전라남도,8110,18580
2012,전라북도,5587,12527
2012,제주도,68,113
2012,충청남도,4711,9681
2012,충청북도,4781,10187
2013,강원도,3063,5971
2013,경기도,3577,6860
2013,경상남도,2982,7937
2013,경상북도,10725,32864
2013,광주광역시,200,345
2013,대구광역시,143,335
2013,대전광역시,127,269
2013,부산광역시,82,227
2013,서울특별시,8,15
2013,울산광역시,217,622
2013,인천광역시,649,1438
2013,전라남도,8859,24561
2013,전라북도,5850,13993
2013,제주도,99,153
2013,충청남도,4604,11807
2013,충청북도,4175,10418
2014,강원도,2674,6463
2014,경기도,2919,6579
2014,경상남도,2335,4539
2014,경상북도,8587,20902
2014,광주광역시,139,231
2014,대구광역시,127,275
2014,대전광역시,83,178
2014,부산광역시,48,112
2014,서울특별시,7,16
2014,울산광역시,182,470
2014,인천광역시,589,1426
2014,전라남도,6792,16434
2014,전라북도,4584,10737
2014,제주도,20,35
2014,충청남도,3792,9354
2014,충청북도,3242,7317
2015,강원도,2780,7009
2015,경기도,2635,6767
2015,경상남도,2234,6239
2015,경상북도,8387,24214
2015,광주광역시,84,172
2015,대구광역시,109,259
2015,대전광역시,78,169
2015,부산광역시,61,158
2015,서울특별시,24,62
2015,울산광역시,157,437
2015,인천광역시,606,1371
2015,전라남도,6194,17535
2015,전라북도,4324,13421
2015,제주도,50,116
2015,충청남도,3623,11433
2015,충청북도,3168,8335
2016,강원도,2076,4651
2016,경기도,2809,6255
2016,경상남도,2110,5680
2016,경상북도,7426,20111
2016,광주광역시,126,273
2016,대구광역시,118,258
2016,대전광역시,85,187
2016,부산광역시,50,135
2016,서울특별시,8,18
2016,세종특별자치시,182,452
2016,울산광역시,149,438
2016,인천광역시,393,885
2016,전라남도,5367,14174
2016,전라북도,4909,13922
2016,제주도,47,109
2016,충청남도,3304,9940
2016,충청북도,3022,7971
2017,강원도,2064,3713
2017,경기도,2670,4009
2017,경상남도,1948,5160
2017,경상북도,6368,12073
2017,광주광역시,91,179
2017,대구광역시,81,161
2017,대전광역시,68,113
2017,부산광역시,63,154
2017,서울특별시,11,16
2017,세종특별자치시,121,197
2017,울산광역시,155,336
2017,인천광역시,311,677
2017,전라남도,4421,10077
2017,전라북도,4277,8409
2017,제주도,39,84
2017,충청남도,3065,5939
2017,충청북도,2584,4418
2018,강원도,2113,4890
2018,경기도,2555,5269
2018,경상남도,2024,5155
2018,경상북도,6768,17182
2018,광주광역시,104,276
2018,대구광역시,81,171
2018,대전광역시,73,172
2018,부산광역시,69,199
2018,서울특별시,7,15
2018,세종특별자치시,142,313
2018,울산광역시,183,372
2018,인천광역시,356,818
2018,전라남도,4456,10651
2018,전라북도,4078,10296
2018,제주도,51,107
2018,충청남도,2938,8356
2018,충청북도,2826,7267
2019,강원도,2557,5791
2019,경기도,2761,6352
2019,경상남도,2237,5345
2019,경상북도,7212,18786
2019,광주광역시,91,171
2019,대구광역시,108,230
2019,대전광역시,59,147
2019,부산광역시,82,193
2019,서울특별시,8,19
2019,세종특별자치시,154,367
2019,울산광역시,191,321
2019,인천광역시,385,783
2019,전라남도,4914,11413
2019,전라북도,4837,12655
2019,제주도,67,121
2019,충청남도,3120,7852
2019,충청북도,2859,7892
