년도,지역,면적 (ha),생산량 (톤)
2000,강원도,661,4501
2000,경기도,1072,6389
2000,경상남도,6736,73422
2000,경상북도,5287,50967
2000,광주광역시,54,517
2000,대구광역시,359,3744
2000,대전광역시,42,234
2000,부산광역시,32,217
2000,서울특별시,7,42
2000,울산광역시,42,374
2000,인천광역시,199,1439
2000,전라남도,20787,227826
2000,전라북도,974,8844
2000,제주도,3741,50429
2000,충청남도,3919,38641
2000,충청북도,1029,6802
2001,강원도,564,4078
2001,경기도,909,6027
2001,경상남도,6095,70713
2001,경상북도,4578,46949
2001,광주광역시,48,474
2001,대구광역시,329,3747
2001,대전광역시,21,120
2001,부산광역시,25,202
2001,서울특별시,1,7
2001,울산광역시,36,289
2001,인천광역시,162,946
2001,전라남도,15869,179310
2001,전라북도,739,7639
2001,제주도,3564,50359
2001,충청남도,3315,30615
2001,충청북도,863,4910
2002,강원도,445,3769
2002,경기도,748,4914
2002,경상남도,5801,71678
2002,경상북도,3951,44185
2002,광주광역시,47,491
2002,대구광역시,320,4196
2002,대전광역시,12,71
2002,부산광역시,16,141
2002,서울특별시,1,7
2002,울산광역시,36,291
2002,인천광역시,134,1089
2002,전라남도,13963,170488
2002,전라북도,621,6531
2002,제주도,3613,52714
2002,충청남도,2764,29525
2002,충청북도,681,4392
2003,강원도,357,2349
2003,경기도,663,4601
2003,경상남도,5649,63753
2003,경상북도,3937,44335
2003,광주광역시,40,436
2003,대구광역시,290,3656
2003,대전광역시,13,72
2003,부산광역시,13,110
2003,서울특별시,3,21
2003,울산광역시,38,301
2003,인천광역시,108,885
2003,전라남도,14055,161773
2003,전라북도,589,6083
2003,제주도,4203,59725
2003,충청남도,2580,26797
2003,충청북도,602,3949
2004,강원도,345,2322
2004,경기도,708,4652
2004,경상남도,5036,62591
2004,경상북도,3512,40459
2004,광주광역시,45,501
2004,대구광역시,271,3612
2004,대전광역시,14,78
2004,부산광역시,17,128
2004,서울특별시,3,20
2004,울산광역시,29,227
2004,인천광역시,111,1080
2004,전라남도,12276,144611
2004,전라북도,614,6330
2004,제주도,4020,58692
2004,충청남도,2631,28661
2004,충청북도,605,3860
2005,강원도,368,2628
2005,경기도,735,4807
2005,경상남도,5268,64423
2005,경상북도,3868,50892
2005,광주광역시,41,306
2005,대구광역시,254,3757
2005,대전광역시,11,77
2005,부산광역시,17,139
2005,서울특별시,6,39
2005,울산광역시,33,260
2005,인천광역시,118,703
2005,전라남도,12588,146607
2005,전라북도,685,6743
2005,제주도,4353,58983
2005,충청남도,2759,30214
2005,충청북도,662,4402
2006,강원도,304,2355
2006,경기도,558,4282
2006,경상남도,5105,65644
2006,경상북도,3783,45572
2006,광주광역시,42,389
2006,대구광역시,186,2028
2006,대전광역시,6,50
2006,부산광역시,41,462
2006,서울특별시,3,23
2006,울산광역시,44,446
2006,인천광역시,93,724
2006,전라남도,11211,125079
2006,전라북도,592,5673
2006,제주도,3814,53707
2006,충청남도,2181,20525
2006,충청북도,631,4421
2007,강원도,312,2596
2007,경기도,588,4585
2007,경상남도,4843,70042
