년도,지역,면적 (ha),생산량 (톤)
2000,강원도,5176,163515
2000,경기도,7580,268739
2000,경상남도,2473,106049
2000,경상북도,3237,122529
2000,광주광역시,831,51519
2000,대구광역시,319,15136
2000,대전광역시,271,13188
2000,부산광역시,431,20101
2000,서울특별시,173,3657
2000,울산광역시,194,8609
2000,인천광역시,711,32251
2000,전라남도,4408,259262
2000,전라북도,6057,328803
2000,제주도,981,48552
2000,충청남도,4555,209570
2000,충청북도,2841,107877
2001,강원도,5151,155438
2001,경기도,6495,259708
2001,경상남도,2263,103005
2001,경상북도,3325,130037
2001,광주광역시,757,47958
2001,대구광역시,318,12427
2001,대전광역시,211,9824
2001,부산광역시,383,18730
2001,서울특별시,80,1727
2001,울산광역시,217,11405
2001,인천광역시,737,36177
2001,전라남도,5094,278561
2001,전라북도,5884,318833
2001,제주도,1165,68381
2001,충청남도,4095,180729
2001,충청북도,2576,98929
2002,강원도,3804,121872
2002,경기도,5973,238268
2002,경상남도,1708,79128
2002,경상북도,2499,92612
2002,광주광역시,591,41219
2002,대구광역시,261,12182
2002,대전광역시,209,6082
2002,부산광역시,439,19804
2002,서울특별시,82,3585
2002,울산광역시,192,10038
2002,인천광역시,492,17533
2002,전라남도,3928,216093
2002,전라북도,4834,267928
2002,제주도,1389,78151
2002,충청남도,3344,144061
2002,충청북도,1642,63227
2003,강원도,4244,137561
2003,경기도,5411,201810
2003,경상남도,1792,85802
2003,경상북도,3158,115859
2003,광주광역시,707,43546
2003,대구광역시,256,11251
2003,대전광역시,242,7870
2003,부산광역시,348,16638
2003,서울특별시,63,2327
2003,울산광역시,115,5455
2003,인천광역시,548,19652
2003,전라남도,4033,209472
2003,전라북도,5278,278065
2003,제주도,2640,156134
2003,충청남도,4016,174803
2003,충청북도,2200,95096
2004,강원도,3595,123907
2004,경기도,5904,254798
2004,경상남도,1711,89369
2004,경상북도,2966,122141
2004,광주광역시,787,41088
2004,대구광역시,297,12166
2004,대전광역시,203,6835
2004,부산광역시,445,22842
2004,서울특별시,85,2870
2004,울산광역시,137,7377
2004,인천광역시,600,27889
2004,전라남도,4342,243770
2004,전라북도,5433,333882
2004,제주도,3681,132802
2004,충청남도,4014,192077
2004,충청북도,2103,96130
2005,강원도,2926,98601
2005,경기도,4322,188773
2005,경상남도,1413,72555
2005,경상북도,2009,77724
2005,광주광역시,387,23965
2005,대구광역시,286,13127
2005,대전광역시,113,4065
2005,부산광역시,204,9393
2005,서울특별시,45,1682
2005,울산광역시,109,5696
2005,인천광역시,454,20167
2005,전라남도,2943,157288
2005,전라북도,3690,223186
2005,제주도,4216,185846
2005,충청남도,2449,123092
2005,충청북도,1564,72323
2006,강원도,3837,130653
2006,경기도,5087,218423
2006,경상남도,1311,70617
2006,경상북도,2703,109122
2006,광주광역시,482,25675
2006,대구광역시,155,8128
2006,대전광역시,81,3410
2006,부산광역시,262,12087
2006,서울특별시,92,3508
2006,울산광역시,139,7592
2006,인천광역시,368,18518
2006,전라남도,3692,214136
2006,전라북도,3621,241193
2006,제주도,3867,203409
2006,충청남도,3001,148166
2006,충청북도,1799,80202
2007,강원도,3700,130468
2007,경기도,4013,159545
2007,경상남도,1043,54925
2007,경상북도,2110,80788
2007,광주광역시,354,19910
2007,대구광역시,145,7198
2007,대전광역시,79,3112
2007,부산광역시,189,8269
2007,서울특별시,52,1685
2007,울산광역시,94,5533
2007,인천광역시,284,13686
2007,전라남도,2570,138228
2007,전라북도,2728,175589
2007,제주도,4611,211746
2007,충청남도,2386,117496
2007,충청북도,1477,66149
2008,강원도,3881,138251
2008,경기도,3757,185269
2008,경상남도,1245,66167
2008,경상북도,2425,100604
2008,광주광역시,379,20237
2008,대구광역시,162,8413
2008,대전광역시,99,3742
2008,부산광역시,236,10979
2008,서울특별시,52,2165
2008,울산광역시,90,5835
2008,인천광역시,269,14775
2008,전라남도,2989,172614
2008,전라북도,3113,197841
2008,제주도,4550,267920
2008,충청남도,2457,131916
2008,충청북도,1604,75459
