년도,지역,면적 (ha),생산량 (톤)
2000,강원도,11099,480889
2000,경기도,6149,364732
2000,경상남도,2710,169619
2000,경상북도,5302,300004
2000,광주광역시,542,38942
2000,대구광역시,568,38540
2000,대전광역시,198,14923
2000,부산광역시,921,65562
2000,서울특별시,208,7906
2000,울산광역시,189,13692
2000,인천광역시,397,29325
2000,전라남도,9503,610659
2000,전라북도,4770,347089
2000,제주도,749,40737
2000,충청남도,4310,356891
2000,충청북도,4186,269745
2001,강원도,10220,439152
2001,경기도,5102,355381
2001,경상남도,2887,199653
2001,경상북도,4827,257721
2001,광주광역시,440,33763
2001,대구광역시,585,32676
2001,대전광역시,141,10613
2001,부산광역시,895,77346
2001,서울특별시,98,4322
2001,울산광역시,176,15990
2001,인천광역시,382,29311
2001,전라남도,11037,673575
2001,전라북도,4379,291631
2001,제주도,594,36133
2001,충청남도,4152,362686
2001,충청북도,3624,220695
2002,강원도,7775,326774
2002,경기도,4120,250229
2002,경상남도,2299,142673
2002,경상북도,4172,216176
2002,광주광역시,391,30918
2002,대구광역시,513,33991
2002,대전광역시,112,9114
2002,부산광역시,660,51202
2002,서울특별시,106,5749
2002,울산광역시,190,13473
2002,인천광역시,264,19378
2002,전라남도,8727,521095
2002,전라북도,3326,226915
2002,제주도,905,48351
2002,충청남도,3123,275402
2002,충청북도,2553,145315
2003,강원도,8975,381994
2003,경기도,4269,244747
2003,경상남도,2409,152887
2003,경상북도,5193,184938
2003,광주광역시,402,29588
2003,대구광역시,425,24421
2003,대전광역시,190,14108
2003,부산광역시,672,46160
2003,서울특별시,110,6548
2003,울산광역시,133,10232
2003,인천광역시,308,22674
2003,전라남도,12009,723550
2003,전라북도,3927,258700
2003,제주도,1160,60693
2003,충청남도,3550,285566
2003,충청북도,3954,231465
2004,강원도,8943,395537
2004,경기도,4511,282765
2004,경상남도,2625,200555
2004,경상북도,5012,296232
2004,광주광역시,394,31067
2004,대구광역시,578,29800
2004,대전광역시,163,13401
2004,부산광역시,631,38757
2004,서울특별시,174,8414
2004,울산광역시,192,14248
2004,인천광역시,329,27522
2004,전라남도,9010,625936
2004,전라북도,3600,281227
2004,제주도,661,34096
2004,충청남도,3869,336955
2004,충청북도,3931,248973
2005,강원도,7193,291222
2005,경기도,3636,225489
