년도,지역,면적 (ha),생산량 (톤)
2000,강원도,372,19704
2000,경기도,37,1010
2000,경상남도,3374,177607
2000,경상북도,3215,179783
2000,광주광역시,3,154
2000,대구광역시,87,4824
2000,대전광역시,2,100
2000,부산광역시,8,421
2000,서울특별시,0,0
2000,울산광역시,17,626
2000,인천광역시,18,838
2000,전라남도,8072,413529
2000,전라북도,487,20381
2000,제주도,793,44099
2000,충청남도,243,12148
2000,충청북도,45,2290
2001,강원도,218,10969
2001,경기도,45,1323
2001,경상남도,3811,230375
2001,경상북도,3401,191272
2001,광주광역시,4,222
2001,대구광역시,102,5465
2001,대전광역시,1,44
2001,부산광역시,6,363
2001,서울특별시,0,0
2001,울산광역시,20,907
2001,인천광역시,11,222
2001,전라남도,9353,518530
2001,전라북도,502,24242
2001,제주도,1227,76724
2001,충청남도,264,11484
2001,충청북도,30,1566
2002,강원도,69,3179
2002,경기도,29,1374
2002,경상남도,3094,190281
2002,경상북도,2924,185849
2002,광주광역시,17,1022
2002,대구광역시,112,6281
2002,대전광역시,0,0
2002,부산광역시,5,308
2002,서울특별시,0,0
2002,울산광역시,12,511
2002,인천광역시,16,686
2002,전라남도,7435,446844
2002,전라북도,497,28612
2002,제주도,848,55052
2002,충청남도,218,10641
2002,충청북도,38,2455
2003,강원도,74,3313
2003,경기도,17,463
2003,경상남도,2161,127140
2003,경상북도,1835,112155
2003,광주광역시,3,186
2003,대구광역시,141,8253
2003,대전광역시,0,0
2003,부산광역시,3,176
2003,서울특별시,0,0
2003,울산광역시,13,431
2003,인천광역시,7,255
2003,전라남도,6658,408110
2003,전라북도,343,19674
2003,제주도,865,53415
2003,충청남도,203,9821
2003,충청북도,29,1811
2004,강원도,89,4872
2004,경기도,30,1214
2004,경상남도,2243,146649
2004,경상북도,2268,155622
2004,광주광역시,15,860
2004,대구광역시,186,11132
2004,대전광역시,0,0
2004,부산광역시,6,392
2004,서울특별시,0,0
2004,울산광역시,18,975
2004,인천광역시,15,698
2004,전라남도,9010,524744
2004,전라북도,505,27356
2004,제주도,851,56554
2004,충청남도,254,11984
2004,충청북도,73,4745
2005,강원도,78,3392
2005,경기도,63,2133
2005,경상남도,3042,193610
2005,경상북도,2688,177569
2005,광주광역시,29,1925
2005,대구광역시,233,14090
2005,대전광역시,1,55
2005,부산광역시,5,316
2005,서울특별시,0,0
2005,울산광역시,32,2105
2005,인천광역시,26,987
2005,전라남도,8653,521677
2005,전라북도,736,37742
2005,제주도,775,46785
2005,충청남도,291,15894
2005,충청북도,85,5051
2006,강원도,10,510
2006,경기도,21,782
2006,경상남도,2706,167712
2006,경상북도,2152,140207
2006,광주광역시,26,1365
2006,대구광역시,84,4703
2006,대전광역시,1,45
2006,부산광역시,6,372
2006,서울특별시,0,0
2006,울산광역시,35,1350
2006,인천광역시,22,732
2006,전라남도,8571,479252
2006,전라북도,565,29486
2006,제주도,909,53413
2006,충청남도,159,7116
2006,충청북도,48,2575
2007,강원도,39,1969
2007,경기도,51,2439
2007,경상남도,2913,205558
2007,경상북도,2460,175358
2007,광주광역시,23,1214
2007,대구광역시,76,4846
2007,대전광역시,1,53
2007,부산광역시,16,1129
2007,서울특별시,0,0
2007,울산광역시,32,1939
2007,인천광역시,27,1359
2007,전라남도,9731,678843
2007,전라북도,708,37410
2007,제주도,1319,82625
2007,충청남도,312,16404
2007,충청북도,43,2230
2008,강원도,11,679
2008,경기도,39,1215
2008,경상남도,2812,196688
2008,경상북도,1978,157341
2008,광주광역시,66,3394
2008,대구광역시,99,6714
2008,대전광역시,2,123
2008,부산광역시,5,348
2008,서울특별시,0,0
2008,울산광역시,47,2648
2008,인천광역시,16,914
2008,전라남도,8165,535704
2008,전라북도,996,59255
2008,제주도,792,48794
2008,충청남도,294,18044
2008,충청북도,70,3214
2009,강원도,33,2001
2009,경기도,33,917
2009,경상남도,3239,271633
2009,경상북도,2368,186610
2009,광주광역시,45,3026
2009,대구광역시,156,8464
2009,대전광역시,3,189
2009,부산광역시,12,1005
2009,서울특별시,0,0
2009,울산광역시,38,1698
2009,인천광역시,17,917
2009,전라남도,10152,750714
2009,전라북도,961,59566
2009,제주도,1037,60369
2009,충청남도,362,22853
2009,충청북도,58,2329
2010,강원도,53,2139
2010,경기도,41,1420
2010,경상남도,4282,306291
2010,경상북도,2695,178230
2010,광주광역시,76,3797
2010,대구광역시,147,7616
2010,대전광역시,2,80
2010,부산광역시,16,1146
2010,서울특별시,0,0
2010,울산광역시,46,2101
2010,인천광역시,24,1726
2010,전라남도,11754,751059
2010,전라북도,1302,76155
2010,제주도,1196,60889
2010,충청남도,390,15560
2010,충청북도,89,3436
2011,강원도,22,1131
2011,경기도,74,4000
2011,경상남도,4842,357453
2011,경상북도,2397,169395
2011,광주광역시,167,9308
2011,대구광역시,137,7370
2011,대전광역시,4,251
2011,부산광역시,6,444
2011,서울특별시,0,0
2011,울산광역시,55,2723
