days,region,temperature,rainfall,daylight,weeks
2015-01-01,Sinan,0,1.5,3,1
2015-01-01,Goheung,-1.5,0,6,1
2015-01-01,Gochang,-4.1,8.5,1,1
2015-01-01,Andong,-6.7,0,9,1
2015-01-01,Uiseong,-7.2,0,8,1
2015-01-02,Sinan,3.1,0,5,1
2015-01-02,Goheung,0.2,0,3,1
2015-01-02,Gochang,-3.3,5.5,3,1
2015-01-02,Andong,-4.6,0,9,1
2015-01-02,Uiseong,-7.5,0,8,1
2015-01-03,Sinan,4.6,0,5,1
2015-01-03,Goheung,0.7,0,7,1
2015-01-03,Gochang,-2.8,0,6,1
2015-01-03,Andong,-3.9,0,9,1
2015-01-03,Uiseong,-7.1,0,8,1
2015-01-04,Sinan,8.7,0,8,2
2015-01-04,Goheung,3.8,0,8,2
2015-01-04,Gochang,3,0,8,2
2015-01-04,Andong,0.8,0,7,2
2015-01-04,Uiseong,-1.3,0,5,2
2015-01-05,Sinan,9.3,3,3,2
2015-01-05,Goheung,5.9,8,2,2
2015-01-05,Gochang,6.8,8.5,3,2
2015-01-05,Andong,1.6,0.1,6,2
2015-01-05,Uiseong,0,0.5,4,2
2015-01-06,Sinan,3.4,0,7,2
2015-01-06,Goheung,5.1,2.5,8,2
2015-01-06,Gochang,2.1,4.5,7,2
2015-01-06,Andong,0.9,3,9,2
2015-01-06,Uiseong,1,7.5,8,2
2015-01-07,Sinan,2.8,0,1,2
2015-01-07,Goheung,0.3,0,8,2
2015-01-07,Gochang,-1.2,0,8,2
2015-01-07,Andong,-4.7,0,9,2
2015-01-07,Uiseong,-5.3,0,8,2
2015-01-08,Sinan,4,0,5,2
2015-01-08,Goheung,1.5,0,8,2
2015-01-08,Gochang,-1,0,4,2
2015-01-08,Andong,-5,0,9,2
2015-01-08,Uiseong,-6.5,0,8,2
2015-01-09,Sinan,5.8,0,9,2
2015-01-09,Goheung,3.7,0,7,2
2015-01-09,Gochang,2.2,0,4,2
2015-01-09,Andong,-2.3,0,9,2
2015-01-09,Uiseong,-4.2,0,7,2
2015-01-10,Sinan,5.8,0,9,2
2015-01-10,Goheung,4.3,0,8,2
2015-01-10,Gochang,2.2,0,8,2
2015-01-10,Andong,0.2,0,10,2
2015-01-10,Uiseong,-3.3,0,8,2
2015-01-11,Sinan,5.5,0,7,3
2015-01-11,Goheung,3.6,0,7,3
2015-01-11,Gochang,2.2,0,5,3
2015-01-11,Andong,-0.3,0.1,9,3
2015-01-11,Uiseong,-2.7,0,8,3
2015-01-12,Sinan,2.6,0,9,3
2015-01-12,Goheung,0,0,8,3
2015-01-12,Gochang,-1.2,0,9,3
2015-01-12,Andong,-2.3,0,10,3
2015-01-12,Uiseong,-4.9,0,8,3
2015-01-13,Sinan,5,0,4,3
2015-01-13,Goheung,3.5,0,5,3
2015-01-13,Gochang,2.6,0,4,3
2015-01-13,Andong,-1.4,0,9,3
2015-01-13,Uiseong,-2.9,0,7,3
2015-01-14,Sinan,6.3,0.4,0,3
2015-01-14,Goheung,5.1,2,0,3
2015-01-14,Gochang,4.1,0,0,3
2015-01-14,Andong,1.3,0,1,3
2015-01-14,Uiseong,0.4,0,0,3
2015-01-15,Sinan,6.4,0,8,3
2015-01-15,Goheung,4.1,0,6,3
2015-01-15,Gochang,1.9,0,5,3
