거래일자,지역(군),평균기온,강수량,일조시간
20180101,종로구,-1.3,0.0,8.0
20180101,춘천시,-4.5,0.0,8.0
20180101,철원군,-5.6,0.0,8.0
20180101,속초시,1.0,0.0,9.0
20180101,원주시,-2.7,0.0,9.0
20180101,영월군,-2.7,0.0,9.0
20180101,평창군,-6.6,0.0,9.0
20180101,태백시,-4.9,0.0,7.0
20180101,동해시,2.6,0.0,9.0
20180101,인제군,-5.9,0.0,7.0
20180101,홍천군,-6.0,0.0,8.0
20180101,유성구,-0.7,0.0,8.0
20180101,금산군,-2.9,0.0,9.0
20180101,부여군,-2.1,0.0,6.0
20180101,천안시,-2.8,0.0,8.0
20180101,보령시,-0.3,0.0,8.0
20180101,청주시,-0.2,0.0,9.0
20180101,영동군,-0.5,0.0,9.0
20180101,보은군,-3.0,0.0,7.0
20180101,제천시,-5.8,0.0,9.0
20180101,남구,-0.3,0.0,9.0
20180101,강화군,-2.7,0.0,8.0
20180101,수원시,-1.7,0.0,8.0
20180101,이천시,-2.0,0.0,9.0
20180101,양평군,-2.5,0.0,8.0
20180101,동두천시,-3.1,0.0,9.0
20180101,파주시,-5.6,0.0,9.0
20180101,남구,2.3,0.0,9.0
20180101,장흥군,0.4,0.0,9.0
20180101,목포시,2.5,0.0,9.0
20180101,신안군,4.6,0.0,9.0
20180101,해남군,-0.2,0.0,9.0
20180101,진도군,0.6,0.0,8.0
20180101,고흥군,0.6,0.0,8.0
20180101,완도군,3.6,0.0,8.0
20180101,여수시,3.3,0.0,9.0
20180101,전주시,1.0,0.0,8.0
20180101,임실군,-1.9,0.0,8.0
20180101,군산시,0.4,0.0,8.0
20180101,부안군,0.4,0.0,8.0
20180101,정읍시,0.2,0.0,8.0
20180101,고창군,0.0,0.0,7.0
20180101,남원시,-0.9,0.0,9.0
20180101,장수군,-2.7,0.0,8.0
20180101,해운대구,2.7,0.0,9.0
20180101,밀양시,0.2,0.0,8.0
20180101,창원시,1.8,0.0,9.0
20180101,통영시,3.3,0.0,9.0
20180101,거제시,2.2,0.0,7.0
20180101,진주시,0.9,0.0,8.0
20180101,산청군,1.7,0.0,7.0
20180101,남해군,2.3,0.0,8.0
20180101,거창군,-0.5,0.0,9.0
20180101,합천군,-1.4,0.0,8.0
20180101,울주군,2.1,0.0,9.0
20180101,제주시,6.4,0.0,3.0
20180101,북제주군,6.1,0.0,8.0
20180101,서귀포시,6.1,0.0,9.0
20180101,북구,1.3,0.0,9.0
20180101,구미시,0.6,0.0,7.0
20180101,상주시,0.5,0.0,8.0
20180101,문경시,-0.1,0.0,8.0
20180101,영주시,-1.1,0.0,9.0
20180101,봉화군,-5.1,0.0,8.0
20180101,안동시,-1.0,0.0,9.0
20180101,영덕군,1.2,0.0,8.0
20180101,울진군,1.6,0.0,9.0
20180101,의성군,-3.0,0.0,8.0
20180101,영천시,0.8,0.0,8.0
20180101,포항시,2.0,0.0,9.0
20180101,울릉군,1.7,0.0,4.0
20180102,종로구,-1.8,0.0,8.0
20180102,춘천시,-3.5,0.0,8.0
20180102,철원군,-5.6,0.0,8.0
20180102,속초시,1.5,0.0,9.0
20180102,원주시,-2.1,0.0,8.0
20180102,영월군,-2.4,0.0,8.0
20180102,평창군,-5.2,0.0,9.0
20180102,태백시,-3.1,0.0,7.0
20180102,동해시,3.8,0.0,8.0
20180102,인제군,-4.2,0.0,7.0
20180102,홍천군,-5.0,0.0,8.0
20180102,유성구,-1.0,0.0,0.0
20180102,금산군,-2.3,0.0,3.0
20180102,부여군,-2.2,0.0,1.0
20180102,천안시,-2.6,0.0,2.0
20180102,보령시,0.1,0.0,0.0
20180102,청주시,-0.7,0.0,2.0
20180102,영동군,-0.1,0.0,4.0
20180102,보은군,-2.3,0.0,1.0
20180102,제천시,-4.3,0.0,6.0
20180102,남구,-1.4,0.0,7.0
20180102,강화군,-2.4,0.0,8.0
20180102,수원시,-1.7,0.0,6.0
20180102,이천시,-3.1,0.0,6.0
20180102,양평군,-2.7,0.0,8.0
20180102,동두천시,-3.5,0.0,9.0
20180102,파주시,-4.8,0.0,8.0
20180102,남구,2.2,0.0,5.0
20180102,장흥군,1.7,0.0,7.0
20180102,목포시,2.8,0.0,8.0
20180102,신안군,5.2,0.0,8.0
20180102,해남군,1.0,0.0,8.0
20180102,진도군,1.7,0.0,8.0
20180102,고흥군,1.5,0.0,8.0
20180102,완도군,4.5,0.0,7.0
20180102,여수시,4.1,0.0,8.0
20180102,전주시,0.7,0.0,3.0
20180102,임실군,-1.6,0.0,3.0
20180102,군산시,0.1,0.0,1.0
20180102,부안군,0.8,0.0,3.0
20180102,정읍시,0.2,0.0,3.0
20180102,고창군,0.4,0.0,3.0
20180102,남원시,-0.7,0.0,4.0
20180102,장수군,-2.4,0.0,3.0
20180102,해운대구,4.1,0.0,8.0
20180102,밀양시,0.7,0.0,8.0
20180102,창원시,3.5,0.0,8.0
20180102,통영시,3.4,0.0,8.0
20180102,거제시,3.8,0.0,7.0
20180102,진주시,0.7,0.0,8.0
20180102,산청군,1.0,0.0,6.0
20180102,남해군,3.1,0.0,8.0
20180102,거창군,-1.1,0.0,6.0
20180102,합천군,-0.2,0.0,6.0
20180102,울주군,3.7,0.0,8.0
20180102,제주시,7.0,0.0,8.0
20180102,북제주군,7.4,0.0,7.0
20180102,서귀포시,7.7,0.0,8.0
20180102,북구,1.5,0.0,6.0
20180102,구미시,0.6,0.0,4.0
20180102,상주시,0.8,0.0,4.0
20180102,문경시,0.1,0.0,5.0
20180102,영주시,0.0,0.0,7.0
20180102,봉화군,-3.8,0.0,7.0
20180102,안동시,-0.5,0.0,7.0
20180102,영덕군,2.0,0.0,7.0
20180102,울진군,2.8,0.0,8.0
20180102,의성군,-1.9,0.0,6.0
20180102,영천시,0.6,0.0,6.0
20180102,포항시,3.2,0.0,8.0
20180102,울릉군,2.8,0.0,8.0
20180103,종로구,-4.7,0.0,9.0
20180103,춘천시,-5.6,0.0,8.0
