년도,월,가격
2000,1,10318
2000,2,11296
2000,3,9612
2000,4,9163
2000,5,6271
2000,6,4462
2000,7,5204
2000,8,6141
2000,9,8240
2000,10,8045
2000,11,4826
2000,12,4229
2001,1,4043
2001,2,3935
2001,3,4000
2001,4,3388
2001,5,4705
2001,6,6752
2001,7,12251
2001,8,11513
2001,9,7264
2001,10,4103
2001,11,2911
2001,12,3448
2002,1,3365
2002,2,3051
2002,3,2864
2002,4,3842
2002,5,6650
2002,6,6929
2002,7,6624
2002,8,7463
2002,9,11805
2002,10,8694
2002,11,8050
2002,12,10700
2003,1,10184
2003,2,9908
2003,3,13403
2003,4,13616
2003,5,8292
2003,6,4043
2003,7,3834
2003,8,3866
2003,9,7666
2003,10,10630
2003,11,9855
2003,12,7480
2004,1,4517
2004,2,4062
2004,3,4502
2004,4,4333
2004,5,3237
2004,6,5415
2004,7,11356
2004,8,24381
2004,9,16905
2004,10,7148
2004,11,4263
2004,12,3342
2005,1,3366
2005,2,3071
2005,3,2511
2005,4,4634
2005,5,5173
2005,6,4816
2005,7,9135
2005,8,10037
2005,9,14582
2005,10,14230
2005,11,11936
2005,12,10615
2006,1,7947
2006,2,8472
2006,3,8705
2006,4,7795
2006,5,6297
2006,6,6880
2006,7,7133
2006,8,11247
2006,9,14485
2006,10,7305
2006,11,4316
2006,12,3824
2007,1,3173
2007,2,3583
2007,3,4419
2007,4,5379
2007,5,5429
2007,6,11419
2007,7,10794
2007,8,9769
2007,9,11501
2007,10,15244
2007,11,13710
2007,12,11509
2008,1,7545
2008,2,5764
2008,3,6242
2008,4,5817
2008,5,5434
2008,6,4925
2008,7,4840
2008,8,6903
2008,9,6086
2008,10,5629
2008,11,6015
2008,12,5704
2009,1,6188
2009,2,6180
2009,3,5935
2009,4,6078
2009,5,7492
2009,6,5692
2009,7,6423
2009,8,7014
2009,9,7033
2009,10,6657
2009,11,6295
2009,12,5785
2010,1,5734
2010,2,6926
2010,3,8596
2010,4,12727
2010,5,15305
2010,6,14484
2010,7,19164
2010,8,20736
2010,9,22737
2010,10,28461
2010,11,17418
2010,12,15165
2011,1,10265
2011,2,10419
2011,3,12536
2011,4,11101
2011,5,8337
2011,6,5311
2011,7,10924
2011,8,24445
2011,9,14590
2011,10,7692
2011,11,5295
2011,12,5013
2012,1,5421
2012,2,7490
2012,3,8297
2012,4,7850
2012,5,9205
2012,6,10535
2012,7,13118
2012,8,9845
2012,9,13012
2012,10,16648
2012,11,13168
2012,12,13541
2013,1,9545
2013,2,8954
2013,3,8650
2013,4,8909
2013,5,14185
2013,6,13679
2013,7,11017
2013,8,13562
2013,9,14311
2013,10,8857
2013,11,7833
2013,12,7062
2014,1,6650
2014,2,6188
2014,3,6657
2014,4,7320
2014,5,7806
2014,6,7780
2014,7,8245
2014,8,8853
2014,9,9589
2014,10,8868
2014,11,7380
2014,12,7384
2015,1,6805
2015,2,7682
2015,3,7755
2015,4,7727
2015,5,8367
2015,6,11412
2015,7,15461
2015,8,10946
2015,9,7135
2015,10,6515
2015,11,7341
2015,12,7345
2016,1,8510
2016,2,10822
2016,3,12100
2016,4,15910
2016,5,14465
2016,6,9227
2016,7,10276
2016,8,13136
2016,9,20168
2016,10,22976
2016,11,13830
2016,12,20962
2017,1,16500
2017,2,14790
2017,3,12755
2017,4,12216
2017,5,11937
2017,6,8295
2017,7,10686
2017,8,17705
2017,9,14324
2017,10,7091
2017,11,6618
2017,12,7234
2018,1,7088
2018,2,13589
2018,3,15114
2018,4,16371
2018,5,18990
2018,6,9831
2018,7,13700
2018,8,22318
2018,9,20682
2018,10,10943
2018,11,6512
2018,12,5979
2019,1,5968
2019,2,6276
2019,3,5545
2019,4,6106
2019,5,7285
2019,6,7478
2019,7,7115
2019,8,6914
2019,9,10563
2019,10,17638
2019,11,17481
2019,12,21660
