1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281
연도별,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
시도별,고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤),고추:면적 (ha),생산량 (톤),건고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),풋고추:면적 (ha),10a당 생산량 (kg),생산량 (톤),양파:면적 (ha),10a당 생산량 (kg),생산량 (톤),마늘:면적 (ha),10a당 생산량 (kg),생산량 (톤)
계,80130,391298,74471,260,193786,5659,3490,197512,16773,5232,877514,44941,1056,474388,76253,411750,70736,255,180120,5517,4198,231630,18995,5653,1073708,37118,1095,406385,76724,381156,72104,267,192753,4620,4078,188403,15314,6093,933095,33153,1190,394482,63150,350174,57502,230,132010,5648,3863,218164,12352,6033,745203,33140,1143,378846,68379,410281,61894,250,154962,6485,3937,255319,15563,6090,947797,30237,1183,357824,67023,395293,61299,263,161380,5724,4087,233913,16737,6114,1023331,31766,1180,374980,58703,352966,53097,220,116914,5606,4211,236052,15315,5809,889619,28594,1159,331379,60842,414136,54876,292,160398,5966,4253,253738,17751,6836,1213375,26986,1288,347546,54885,385763,48825,253,123509,6060,4328,262254,15392,6725,1035076,28416,1321,375463,50521,350436,44817,262,117324,5704,4087,233112,18514,7412,1372291,26323,1357,357278,49976,310462,44584,214,95391,5392,3989,215071,22113,6384,1411646,22414,1212,271560,47388,262257,42574,181,77110,4814,3846,185147,22976,6616,1520016,24035,1227,295002,50454,302015,45459,229,104146,4995,3961,197869,20965,5703,1195737,28278,1199,339113,50211,298885,45360,260,117816,4851,3733,181069,20036,6458,1294009,29352,1405,412250,40739,270983,36120,236,85068,4619,4025,185915,23911,6649,1589957,25062,1412,353761,39392,273271,34514,283,97697,4878,3599,175574,18015,6072,1093932,20638,1290,266272,36636,254658,32181,266,85459,4455,3798,169199,19896,6528,1298749,20759,1327,275549,32865,241946,28337,197,55714,4529,4112,186232,19538,5858,1144493,24864,1221,303578,33630,265254,28824,248,71509,4806,4031,193745,26425,5756,1520969,28351,1170,331741,31644,78437,31644,248,78437,0,0,0,21777,7322,1594450,27689,1400,387671
서울특별시,28,101,25,222,56,3,1509,45,0,0,0,7,596,42,34,165,30,156,47,4,2938,118,0,0,0,1,700,7,25,215,21,233,49,4,4150,166,0,0,0,1,700,7,26,166,23,220,51,3,3833,115,0,0,0,3,694,21,29,230,27,196,53,2,8850,177,0,0,0,3,657,20,28,122,25,210,53,3,2300,69,0,0,0,6,650,39,23,87,21,178,37,2,2511,50,0,0,0,3,767,23,29,388,25,238,60,4,8196,328,0,0,0,1,780,8,45,2138,19,211,40,26,8071,2098,0,0,0,2,865,17,26,431,21,177,37,5,7889,394,0,0,0,0,0,0,11,114,7,168,12,4,2547,102,0,0,0,1,715,7,10,67,8,116,9,2,2876,58,0,0,0,2,740,15,19,239,8,199,16,11,2025,223,0,0,0,3,689,21,22,440,8,192,15,14,3036,425,0,0,0,3,965,29,47,1230,7,225,16,40,3036,1214,0,0,0,4,899,36,24,62,24,257,62,0,0,0,0,0,0,3,904,27,8,18,8,223,18,0,0,0,0,0,0,1,943,9,11,21,11,150,16,0,2580,5,0,4559,22,1,700,7,8,29,7,206,15,1,2311,14,0,5502,20,0,835,3,8,19,8,230,19,0,0,0,0,6540,29,1,1005,6
부산광역시,87,1010,65,181,118,22,4056,892,8,5264,421,32,678,217,114,1081,77,211,163,37,2482,918,6,6045,363,25,808,202,77,172,76,194,147,1,2480,25,5,6150,308,16,881,141,60,264,54,96,52,6,3533,212,3,5875,176,13,846,110,62,334,57,282,161,5,3460,173,6,6533,392,17,753,128,69,238,66,200,132,3,3533,106,5,6320,316,17,818,139,59,306,53,164,87,6,3643,219,6,6198,372,41,1126,462,57,344,52,285,148,5,3917,196,16,7053,1129,26,1199,312,75,423,69,274,189,6,3894,234,5,6969,348,31,1348,418,60,99,60,165,99,0,0,0,12,8375,1005,32,1202,385,38,178,34,142,48,4,3259,130,16,7163,1146,24,846,203,60,123,58,112,65,2,2907,58,6,7393,444,29,1446,419,65,346,58,237,138,7,2970,208,13,6303,819,39,1223,477,85,316,82,277,227,3,2981,89,23,8265,1901,49,1412,692,48,112,48,233,112,0,0,0,16,7271,1163,25,1759,440,67,386,61,259,158,6,3803,228,17,6584,1119,21,1042,219,59,516,50,270,135,9,4233,381,21,7445,1564,22,1502,331,68,387,63,247,154,6,3979,233,10,6082,621,23,989,224,71,274,69,287,199,2,3919,75,31,4881,1501,26,906,235,82,193,82,234,193,0,0,0,16,6463,1049,27,1182,314
대구광역시,259,1590,228,142,323,31,4086,1267,87,5545,4824,359,1043,3744,224,2009,188,195,366,36,4563,1643,102,5358,5465,329,1139,3747,222,1505,198,195,387,24,4658,1118,112,5608,6281,320,1311,4196,193,886,178,141,251,15,4233,635,141,5853,8253,290,1261,3656,249,2537,198,138,273,51,4439,2264,186,5985,11132,271,1333,3612,214,2076,178,203,361,36,4764,1715,233,6047,14090,254,1479,3757,247,1504,219,102,223,28,4576,1281,84,5598,4703,186,1090,2028,204,2323,160,204,327,44,4536,1996,76,6376,4846,180,1390,2502,215,2862,158,214,338,57,4428,2524,99,6782,6714,248,1575,3907,198,1327,171,152,259,27,3957,1068,156,5425,8464,242,1329,3217,200,1424,169,190,321,31,3557,1103,147,5181,7616,229,1386,3174,174,831,160,204,326,14,3606,505,137,5379,7370,212,1380,2925,147,572,136,222,302,11,2459,270,129,3901,5033,263,1460,3839,186,1333,143,234,335,43,2320,998,81,6909,5596,242,1357,3283,146,716,127,217,275,19,2320,441,120,6089,7307,180,1527,2749,142,1025,109,238,259,33,2321,766,63,4328,2727,143,1261,1803,118,258,118,219,258,0,0,0,217,7108,15425,405,1571,6361,111,846,81,197,161,30,2317,685,236,8734,20634,468,1587,7431,91,306,81,210,171,10,1418,135,263,9368,24662,487,1629,7930,108,230,108,214,230,0,0,0,311,8426,26244,504,1645,8290
인천광역시,972,3200,935,263,2460,37,2000,740,18,4653,838,199,723,1439,856,3405,822,233,1918,34,4373,1487,11,2021,222,162,584,946,819,2183,812,253,2051,7,1887,132,16,4290,686,134,813,1089,750,2983,711,315,2240,39,1905,743,7,3645,255,108,819,885,805,2295,762,202,1539,43,1758,756,15,4653,698,111,973,1080,829,3008,808,267,2156,21,4057,852,26,3796,987,118,596,703,700,2124,679,194,1318,21,3840,806,22,3326,732,93,779,724,677,1855,677,274,1855,0,0,0,27,5035,1359,94,698,656,605,1385,605,229,1385,0,0,0,16,5713,914,85,808,687,599,1794,599,300,1794,0,0,0,17,5397,917,58,786,456,562,1921,532,235,1249,30,2241,672,24,7193,1726,58,1130,655,560,986,552,140,772,8,2670,214,25,3804,951,77,539,415,618,2454,583,262,1525,35,2655,929,35,3709,1298,83,713,592,651,1477,649,222,1438,2,1940,39,25,2294,573,97,868,842,589,1426,589,242,1426,0,0,0,33,4072,1344,87,908,790,610,1520,606,226,1371,4,3730,149,25,2833,708,105,745,783,393,885,393,225,885,0,0,0,35,6046,2116,75,1082,811,311,689,311,218,677,0,3970,12,32,5569,1803,66,1052,694,363,1079,356,230,818,7,3972,261,35,5632,1954,61,959,588,385,783,385,203,783,0,0,0,52,6477,3397,66,859,569
광주광역시,738,25622,197,204,401,541,4662,25221,3,5123,154,54,958,517,717,25099,181,245,443,536,4600,24656,4,5544,222,48,988,474,545,16525,190,270,514,355,4510,16011,17,6010,1022,47,1045,491,567,18904,119,206,245,448,4165,18659,3,6198,186,40,1089,436,551,17156,195,219,428,356,4699,16728,15,5733,860,45,1113,501,498,13852,160,252,403,338,3979,13449,29,6638,1925,41,746,306,563,16567,146,180,262,417,3910,16305,26,5249,1365,42,925,389,581,17945,152,268,407,429,4088,17538,23,5278,1214,35,959,336,651,20854,164,211,346,487,4211,20508,66,5143,3394,41,1361,558,638,20600,143,178,255,495,4110,20345,45,6725,3026,28,1359,381,612,20312,129,193,248,483,4154,20064,76,4996,3797,33,784,259,501,15160,116,224,260,385,3870,14900,167,5574,9308,25,846,211,459,11327,158,202,319,301,3657,11008,126,7733,9744,41,952,390,634,18187,200,173,345,434,4111,17842,58,7443,4317,37,1169,432,437,10166,139,166,231,298,3334,9935,83,6628,5501,47,1123,528,409,11645,84,205,172,325,3530,11473,93,6603,6140,33,1087,359,337,6464,126,217,273,211,2934,6191,43,5700,2451,36,1163,419,269,5170,91,197,179,178,2800,4991,48,5580,2687,44,1063,473,328,8975,104,266,276,224,3882,8699,65,5940,3836,36,1096,389,91,171,91,189,171,0,0,0,33,6994,2321,44,1352,597
대전광역시,194,674,187,220,412,7,3740,262,2,4999,100,42,557,234,199,1058,178,212,377,21,3244,681,1,4350,44,21,571,120,178,797,161,243,391,17,2388,406,0,0,0,12,592,71,151,831,131,170,223,20,3040,608,0,0,0,13,554,72,213,2071,160,194,311,53,3321,1760,0,0,0,14,557,78,171,871,153,187,286,18,3250,585,1,5500,55,11,700,77,113,668,99,217,215,14,3235,453,1,4475,45,6,837,50,135,943,114,216,246,21,3317,697,1,5258,53,11,630,69,125,1037,101,226,228,24,3370,809,2,6137,123,16,758,121,108,609,94,146,137,14,3368,472,3,6313,189,12,793,95,107,504,96,163,157,11,3155,347,2,3990,80,7,782,55,105,482,92,96,89,13,3022,393,4,6276,251,15,725,109,131,449,126,238,300,5,2989,149,3,3936,118,21,783,164,147,867,127,212,269,20,2991,598,3,4191,126,20,956,191,92,424,83,214,178,9,2736,246,4,6628,265,29,974,282,84,303,78,216,169,6,2226,134,1,5707,57,23,917,211,90,298,85,220,187,5,2220,111,2,6270,125,22,1011,222,73,195,68,166,113,5,1820,82,5,5243,255,28,859,238,81,313,73,235,172,8,1820,141,5,5570,289,29,604,175,59,147,59,249,147,0,0,0,4,5547,198,31,700,219
울산광역시,279,1264,261,208,544,18,4000,720,17,3680,626,42,890,374,232,810,223,210,468,9,3800,342,20,4533,907,36,803,289,210,1003,193,216,417,17,3446,586,12,4259,511,36,808,291,203,1091,180,166,299,23,3443,792,13,3319,431,38,792,301,242,1398,215,219,471,27,3433,927,18,5417,975,29,783,227,234,944,220,216,475,14,3350,469,32,6578,2105,33,788,260,242,1073,219,169,371,23,3051,702,35,3857,1350,44,1013,446,207,493,205,209,429,2,3182,64,32,6058,1939,40,920,368,170,448,167,207,346,3,3409,102,47,5633,2648,46,952,438,197,1275,169,200,337,28,3350,938,38,4468,1698,45,887,399,136,403,130,158,205,6,3300,198,46,4568,2101,42,1003,421,173,395,169,163,275,4,2988,120,55,4950,2723,66,1111,733,146,474,142,255,362,4,2800,112,46,3970,1826,67,1043,699,218,649,217,287,622,1,2714,27,37,5889,2179,43,1039,447,186,572,182,258,470,4,2561,102,62,5646,3500,62,892,553,160,507,157,278,437,3,2346,70,36,5167,1860,50,1303,652,153,530,149,294,438,4,2304,92,19,7445,1415,45,894,402,157,378,155,217,336,2,2271,42,18,6082,1097,69,1197,823,186,443,183,204,372,4,1904,71,65,6451,4212,97,990,958,191,321,191,168,321,0,0,0,52,5984,3122,96,1269,1219
